FID,SAMPLE_GEOMETRY,DEPOSIT_LATITUDE,DEPOSIT_LONGITUDE,DEPOSIT_UID,ALL_COMMODITIES,CU_PPM
CriticalMineralDepositsGeochemistry.ga.577.7372944.wholerock,POINT (-21.658644 121.571241),-21.6549,121.5709,AUS.WA.335579,Cu,
CriticalMineralDepositsGeochemistry.ga.673.7372906.4acid,POINT (-22.194441 122.3041),-22.1991,122.3141,AUS.WA.335631,"Cu, Co",27400.0
CriticalMineralDepositsGeochemistry.ga.2815.1542116.wholerock,POINT (-29.180129 116.977074),-29.1785,116.9774,AUS.WA.335652,"Mo, Au, Cu, Ag (WO3, MoS2, W)",90.0
CriticalMineralDepositsGeochemistry.ga.167.7371999.4acid,POINT (-31.21854 121.68021),-31.2166,121.68,AUS.WA.335722,"Au, Ni, Cu, Co, PGE",240.0
CriticalMineralDepositsGeochemistry.ga.1030.7368461.wholerock,POINT (-27.038517 120.501203),-26.9204,120.379,AUS.WA.335749,"Ni (Co, PGE, Cu)",
CriticalMineralDepositsGeochemistry.ga.98.7371786.4acid,POINT (-28.744459 116.945039),-28.7452,116.9436,AUS.WA.335838,"Pb, Cu, Zn, Au, Ag",1000.0
