FID,SAMPLE_GEOMETRY,DEPOSIT_LATITUDE,DEPOSIT_LONGITUDE,DEPOSIT_UID,ALL_COMMODITIES,CU_PPM
CriticalMineralDepositsGeochemistry.ga.2554.1541620.wholerock,POINT (-20.877105 117.816311),-20.8771,117.8091,AUS.WA.333611,"Cu, Zn (Ag, Pb, Au)",74.0
CriticalMineralDepositsGeochemistry.ga.542.7372610.wholerock,POINT (-27.603836 120.590231),-27.599,120.5777,AUS.WA.333803,"Ni (Cu, Pd, Pt, Au, Co, PGE)",
CriticalMineralDepositsGeochemistry.ga.97.7371782.wholerock,POINT (-28.777512 116.963014),-28.7772,116.9626,AUS.WA.333890,"Cu, Zn, Pb, Ag, Au",
CriticalMineralDepositsGeochemistry.ga.570.7372530.wholerock,POINT (-28.483935 122.237988),-28.4868,122.2385,AUS.WA.334147,"Cu (Ni, Co, PGE, Au)",
CriticalMineralDepositsGeochemistry.ga.119.7372025.wholerock,POINT (-28.40932 121.147994),-28.409,121.1478,AUS.WA.334181,"Cu, Zn, Ag (Au, Pb)",
CriticalMineralDepositsGeochemistry.ga.182.7372048.wholerock,POINT (-30.910705 121.717647),-30.9106,121.7167,AUS.WA.334445,"Ni (Co, PGE, Cu)",
CriticalMineralDepositsGeochemistry.ga.543.7372611.ar,POINT (-31.177891 121.678025),-31.1785,121.6775,AUS.WA.334537,"Ni (Cu, Co, PGE)",
CriticalMineralDepositsGeochemistry.ga.3603.1596425.wholerock,POINT (-21.151275 119.20637),-21.147,119.2055,AUS.WA.334568,"Cu, Zn (Ag, Pb, Au)",104.0
CriticalMineralDepositsGeochemistry.ga.1047.7368481.4acid,POINT (-24.643101 118.586078),-24.6431,118.5873,AUS.WA.334629,"Pb (Ag, Cu, Zn, Brt, Au)",2170.0
