FID,SAMPLE_GEOMETRY,DEPOSIT_LATITUDE,DEPOSIT_LONGITUDE,DEPOSIT_UID,ALL_COMMODITIES,CU_PPM
CriticalMineralDepositsGeochemistry.ga.614.7372959.4acid,POINT (-26.095534 127.69017),-26.0954,127.7274,AUS.WA.434546,"Ni, Cu (Co, Pt, Au, Pd, Ag, PGE)",52600.0
CriticalMineralDepositsGeochemistry.ga.660.7372592.ar,POINT (-31.197947 121.691917),-31.1931,121.6785,AUS.WA.513745,"Cu, Ni, PGE, Co",
CriticalMineralDepositsGeochemistry.ga.675.7372889.wholerock,POINT (-28.483949 121.169987),-28.4839,121.17,AUS.WA.515724,"Zn, Cu, Ag (Au, Pb)",
