FID,SAMPLE_GEOMETRY,DEPOSIT_LATITUDE,DEPOSIT_LONGITUDE,DEPOSIT_UID,ALL_COMMODITIES,CU_PPM
CriticalMineralDepositsGeochemistry.ga.1829.2123606.wholerock,POINT (-31.110443 137.149374),-31.1051,137.1544,AUS.SA.335512,"Fe, U, Au, Co, Ag, Cu",380.0
CriticalMineralDepositsGeochemistry.ga.516.7372740.4acid,POINT (-30.437444 136.889293),-30.4374,136.8893,AUS.SA.335647,"Cu, Au (U, Ag, REE)",53700.0
CriticalMineralDepositsGeochemistry.ga.523.7373003.ar,POINT (-33.976954 137.688348),-33.9763,137.689,AUS.SA.336892,"Au, Cu",
CriticalMineralDepositsGeochemistry.ga.528.7373031.wholerock,POINT (-34.056043 137.613837),-34.0407,137.6207,AUS.SA.337525,"Au, Cu",
CriticalMineralDepositsGeochemistry.ga.2049.2128796.wholerock,POINT (-34.543702 137.874386),-34.5375,137.8722,AUS.SA.529299,"Cu, Au (Fe)",34.0
