Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%)
-20.9825,116.8648,AUS.WA.335472,18558,28000,17000,5000,1000,2985708089,1095472681,1293654749,596580658.7,0,390462.0411,103410844.1,0.219051166,0,0,1969558248,0,1.23E-09,0,100,25,70%
-27.4555,120.5775,AUS.WA.335559,21616,7000,17000,9000,2158,2581959298,1228586341,454917465.1,898455491.4,0,588039.1191,119843586,0.253860004,0,0,1969558248,0,3.26E-09,0,100,25,54%
-33.9763,137.689,AUS.SA.336892,22334,7000,17000,8000,1659,2517160277,1080415040,550108640.9,886636596.3,0,580303.6522,121189789.9,0.256711615,0,0,1969558248,0,2.13E-09,0,100,25,55%
-34.0407,137.6207,AUS.SA.337525,22316,7000,17000,8000,1804,2519681939,1082903995,550108640.9,886669303.5,0,580325.0592,121279209.5,0.256901029,0,0,1969558248,0,2.06E-09,0,100,25,55%
-34.5375,137.8722,AUS.SA.529299,17752,30000,17000,5000,1761,3370307418,814884008.2,2039778053,515645356.6,0,337489.8859,96627687.56,0.20468267,0,0,1969558248,0,1.34E-09,0,100,25,74%
-20.9549,140.9799,AUS.QLD.336037,22074,6000,17000,9000,1802,2586607109,1264987139,348269618.8,973350350.3,0,637057.8042,124353281.6,0.263412717,0,0,1969558248,0,3.16E-09,0,100,25,51%
-19.1596,139.4342,AUS.QLD.336263,21711,6000,17000,9000,1848,2513374363,1218458516,315183176.6,979732671,0,641235.0331,125410006.3,0.265651135,0,0,1969558248,0,2.44E-09,0,100,25,50%
-24.017,148.917,AUS.QLD.443072,23456,19000,17000,5000,1110,2671211566,1249000491,483960672.6,938250402.3,0,614084.8883,132373964.6,0.280402617,0,0,1969558248,0,2.97E-09,0,100,25,52%
-18.5074,144.0999,AUS.QLD.334081,18080,29000,17000,5000,5857,2996911567,993776224.9,1377481374,625653967.4,0,409490.5217,106998696.6,0.226651175,0,0,1969558248,0,1.54E-09,0,100,25,68%
-20.8766,139.9862,AUS.QLD.334094,21105,6000,17000,8000,1725,2528214122,1210761796,343672102.8,973780223.9,0,637339.1566,123999468.7,0.262663248,0,0,1969558248,0,3.29E-09,0,100,25,51%
-17.1187,144.4047,AUS.QLD.334276,24269,6000,17000,9000,1784,2603157269,1317928905,270832585.4,1014395779,0,663922.0371,129636920.5,0.274604843,0,0,1969558248,0,3.16E-09,0,100,25,48%
-17.1813,137.7848,AUS.NT.333325,21024,30000,17000,5000,1040,2958374137,1149318084,1203683829,605372223.5,0,396216.1203,107715307.2,0.228169143,0,0,1969558248,0,1.48E-09,0,100,25,69%
-19.6271,134.15,AUS.NT.333391,18503,33000,17000,5000,1345,3390661695,1067799710,1868994679,453867305.6,0,297056.1515,93087791.73,0.197184246,0,0,1969558248,0,1.23E-09,0,100,25,77%
-16.436,136.0985,AUS.NT.333587,22241,6000,17000,10000,1777,2469759512,1211753639,252793290.3,1005212583,0,657911.6358,128764375.4,0.272756565,0,0,1969558248,0,2.21E-09,0,100,25,49%
-21.7224,122.2109,AUS.WA.335840,18323,32000,17000,5000,1043,3190913940,1047559782,1624582480,518771678.2,0,339536.0634,98838272.7,0.209365266,0,0,1969558248,0,1.51E-09,0,100,25,74%
-17.7501,127.8329,AUS.WA.335844,20289,31000,17000,5000,1002,3015469043,1124452525,1279024704,611991814.9,0,400548.6428,109343518.6,0.23161812,0,0,1969558248,0,1.23E-09,0,100,25,69%
