Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%)
-22.0815,140.5842,AUS.QLD.558218,20884,6000,17000,9000,1814,2530253939,1211514844,350234202.5,968504893,-37759.51783,633886.4524,123434053.8,0.261465552,7925,0,1969558248,11534820.38,1.36E-09,0,100,25,51%
-35.0919,139.0054,AUS.SA.333599,30631,8000,17000,9000,2202,2705087718,1343817133,405647025.1,955623559.9,-45994.79415,625455.62,132126131.5,0.279877642,7075,0,1969558248,12679737.11,2.32E-09,0,100,25,51%
-20.8771,117.8091,AUS.WA.333611,18516,29000,17000,5000,1000,3013440116,1102801154,1312402115,598236847.7,-22131.02529,391546.0168,104346203.8,0.221032502,4450,0,1969558248,3536349.703,8.64E-10,0,100,25,70%
-27.599,120.5777,AUS.WA.333803,24867,8000,17000,10000,1855,2781298848,1407176630,519240164.8,854882053.3,-35004.30131,559520.3039,118680797.5,0.251396914,6150,0,1969558248,8868927.543,1.80E-09,0,100,25,57%
-28.7772,116.9626,AUS.WA.333890,23014,6000,17000,9000,1859,2628142161,1311167384,393945151.1,923029625.5,-38209.47885,604122.8899,121428899.7,0.257218112,7750,0,1969558248,11351224.12,1.65E-09,0,100,25,53%
-26.0954,127.7274,AUS.WA.434546,23071,6000,17000,9000,1821,2603464390,1288294211,376013629.7,939156548.9,-32318.40855,614677.9612,122896705.8,0.260327309,5475,0,1969558248,7575733.881,2.11E-09,0,100,25,52%
-31.1931,121.6785,AUS.WA.513745,21400,7000,17000,5000,1521,2532543537,1145814516,479334516.9,907394503.7,-34987.51791,593889.7026,119727764.2,0.253614663,7025,0,1969558248,8613044.794,2.31E-09,0,100,25,54%
-28.4839,121.17,AUS.WA.515724,17263,31000,17000,6000,1000,3373680771,968376735.7,1947031125,458272909.8,-20681.38989,299939.6194,92171776.21,0.195243886,4050,0,1969558248,2988252.303,4.77E-10,0,100,25,77%
-35.0613,149.5717,AUS.NSW.335841,27244,6000,17000,10000,1845,2542816553,1227695965,293305136.1,1021815451,-35976.32728,668778.2129,134372531.5,0.284636104,9075,0,1969558248,13317768.35,1.36E-09,0,100,25,48%
-29.5,152.4897,AUS.NSW.335959,25130,9000,17000,8000,1434,2302946099,1036497244,24500635.46,1241948220,-26176.59509,812855.1099,153654091.9,0.325479483,10550,0,1969558248,12354893.33,8.41E-10,0,100,25,37%
-34.1848,147.3854,AUS.NSW.455899,20194,30000,17000,5000,2776,2951923769,981116201.4,1286278816,684528751.5,-64861.11959,448024.0678,115527385.4,0.244717164,5325,0,1969558248,11848899.53,1.61E-09,0,100,25,65%
-33.9763,137.689,AUS.SA.336892,22334,7000,17000,8000,1659,2517160277,1080415040,550108640.9,886636596.3,-33114.06607,580303.6522,121189789.9,0.256711615,7850,0,1969558248,10075543.63,1.31E-09,0,100,25,55%
-34.0407,137.6207,AUS.SA.337525,22316,7000,17000,8000,1804,2519681939,1082903995,550108640.9,886669303.5,-37658.72359,580325.0592,121279209.5,0.256901029,7700,0,1969558248,10772872.15,1.40E-09,0,100,25,55%
-34.5375,137.8722,AUS.SA.529299,17752,30000,17000,5000,1761,3370307418,814884008.2,2039778053,515645356.6,-37915.58901,337489.8859,96627687.56,0.20468267,3650,0,1969558248,5577219.206,1.07E-09,0,100,25,74%
-18.5074,144.0999,AUS.QLD.334081,18080,29000,17000,5000,5857,2996911567,993776224.9,1377481374,625653967.4,-91991.16337,409490.5217,106998696.6,0.226651175,4500,0,1969558248,14272725.8,1.21E-09,0,100,25,68%
-20.8766,139.9862,AUS.QLD.334094,21105,6000,17000,8000,1725,2528214122,1210761796,343672102.8,973780223.9,-39064.35775,637339.1566,123999468.7,0.262663248,8175,0,1969558248,11415205.49,1.97E-09,0,100,25,51%
-17.1187,144.4047,AUS.QLD.334276,24269,6000,17000,9000,1784,2603157269,1317928905,270832585.4,1014395779,-36441.30814,663922.0371,129636920.5,0.274604843,6875,0,1969558248,10134139.9,1.96E-09,0,100,25,48%
-31.2166,121.68,AUS.WA.335722,23123,6000,17000,9000,1725,2603562605,1260428931,411791973.9,931341700.8,-33516.60146,609563.1432,122485387.1,0.259456028,6825,0,1969558248,9076691.786,1.34E-09,0,100,25,53%
-26.9204,120.379,AUS.WA.335749,16508,34000,17000,5000,7049,3338988654,940303406.8,1944182048,454503198.9,-79423.46577,297472.3437,93683627.86,0.198446383,2975,0,1969558248,8082222.237,1.02E-09,0,100,25,77%
-28.7452,116.9436,AUS.WA.335838,22732,6000,17000,9000,1865,2623337216,1308245853,395449144.5,919642219,-38051.70408,601905.8323,121168721.9,0.256666988,7750,0,1969558248,11185900.3,1.52E-09,0,100,25,53%
-20.1656,139.4582,AUS.QLD.334842,17118,32000,17000,5000,7180,3152880901,977802054.8,1602516413,572562433.2,-91440.84625,374742.1126,103669278.6,0.219598598,5125,0,1969558248,15606469.27,1.00E-09,0,100,25,71%
-18.609,143.993,AUS.QLD.334950,24201,9000,17000,5000,2474,2720071235,1345636204,469094630.6,905340400.7,-61010.95741,592545.2923,121549120.6,0.257472771,6700,0,1969558248,15068252.09,2.43E-09,0,100,25,54%
-20.7187,140.6487,AUS.QLD.334977,21026,8000,17000,5000,2420,2581438141,1204494419,451114776.8,925828945.1,-58330.91628,605955.0446,120696994.4,0.255667746,7650,0,1969558248,16183819.11,2.10E-09,0,100,25,53%
-41.7824,145.434,AUS.TAS.336113,32303,8000,17000,5000,1626,2405590005,974221965.9,335574403,1095793636,-42688.58104,717196.9349,147232780.6,0.311877469,12700,0,1969558248,15648941.07,2.30E-09,0,100,25,44%
-37.6078,142.6124,AUS.VIC.467811,35598,14000,17000,8000,1239,2814945167,1435642155,482746680.6,896556331.4,-25261.03863,586796.1189,133554649.3,0.282903616,9825,0,1969558248,9362576.518,1.34E-09,0,100,25,54%
-20.9168,116.8861,AUS.WA.333298,18845,28000,17000,5000,1004,3003817917,1116863189,1293654749,593299978.8,-21809.46187,388314.8362,103136169.2,0.218469333,4400,0,1969558248,3491481.157,8.19E-10,0,100,25,70%
