Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,7896130,-,b'New South Wales',b'Australia',-31.5,145.85,10,249,10,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.1
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Wind Direction,Wind Speed,Surface Albedo
2020,1,1,0,0,0,0,0,16,25,983,80,5.5,0.18
2020,1,1,1,0,0,0,0,16.400000000000002,23.8,983,80,5.7,0.18
2020,1,1,2,0,0,0,0,16.7,22.5,983,78,5.5,0.18
2020,1,1,3,0,0,0,0,16.900000000000002,21.6,983,77,5.300000000000001,0.18
2020,1,1,4,0,0,0,0,17.1,21,983,79,5,0.18
2020,1,1,5,0,0,0,0,17.2,20.8,984,78,5.1000000000000005,0.18
2020,1,1,6,0,377,42,94,17.3,21.900000000000002,984,72,6,0.18
2020,1,1,7,0,264,134,224,17.6,24.200000000000003,984,63,6.300000000000001,0.18
2020,1,1,8,0,0,79,79,17.8,26.6,984,53,5.7,0.18
2020,1,1,9,0,0,46,46,17.8,28.400000000000002,984,44,4.800000000000001,0.18
2020,1,1,10,0,835,178,886,2.9000000000000004,35.7,983,184,3.5,0.15
2020,1,1,11,0,876,181,1007,3.8000000000000003,37.6,983,195,3.4000000000000004,0.15
2020,1,1,12,0,901,179,1067,4.4,39,982,205,3.5,0.15
2020,1,1,13,0,980,125,1083,4.6000000000000005,40,981,214,3.7,0.15
2020,1,1,14,0,975,118,1010,4.3,40.400000000000006,981,221,4,0.15
2020,1,1,15,0,951,109,875,3.7,40.1,980,221,4.4,0.15
2020,1,1,16,0,908,98,692,2.7,39.300000000000004,980,219,4.7,0.15
2020,1,1,17,0,830,82,474,1.3,37.800000000000004,981,214,4.800000000000001,0.15
2020,1,1,18,0,673,60,244,-0.6000000000000001,35.800000000000004,982,208,4.4,0.15
2020,1,1,19,0,294,24,45,-2.9000000000000004,32.2,983,201,3.4000000000000004,0.15
2020,1,1,20,0,0,0,0,-5.1000000000000005,30.5,984,193,4.3,0.15
2020,1,1,21,0,0,0,0,-6.2,28.900000000000002,984,185,4.6000000000000005,0.15
2020,1,1,22,0,0,0,0,-6.300000000000001,27.5,985,178,4.7,0.15
2020,1,1,23,0,0,0,0,-5.9,26.3,985,172,4.7,0.15
2020,1,2,0,0,0,0,0,-5.2,25.200000000000003,984,166,4.6000000000000005,0.15
2020,1,2,1,0,0,0,0,-4.4,24.200000000000003,984,161,4.4,0.15
2020,1,2,2,0,0,0,0,-3.7,23.3,984,155,4.2,0.15
2020,1,2,3,0,0,0,0,-3.2,22.6,984,149,4.1000000000000005,0.15
2020,1,2,4,0,0,0,0,-3,21.900000000000002,984,144,3.8000000000000003,0.15
2020,1,2,5,0,0,0,0,-2.9000000000000004,21.700000000000003,985,139,3.7,0.15
2020,1,2,6,0,443,41,101,-2.9000000000000004,23.8,985,137,4.1000000000000005,0.15
2020,1,2,7,0,731,71,320,-3.6,28.200000000000003,986,133,4.3,0.15
2020,1,2,8,0,865,90,553,-4.1000000000000005,32.1,986,131,3.8000000000000003,0.15
2020,1,2,9,0,938,103,768,-3.4000000000000004,35,986,147,2.6,0.15
2020,1,2,10,0,984,111,944,-2.2,37.6,985,183,1.7000000000000002,0.15
2020,1,2,11,0,1009,116,1066,-1.2000000000000002,39.800000000000004,984,222,2,0.15
2020,1,2,12,0,1024,117,1127,-1,41.300000000000004,984,236,2.6,0.15
2020,1,2,13,0,1021,118,1115,-1.3,42.2,983,239,3.1,0.15
2020,1,2,14,0,1009,113,1037,-2,42.400000000000006,982,236,3.5,0.15
2020,1,2,15,0,986,105,899,-2.8000000000000003,42.1,981,232,3.7,0.15
2020,1,2,16,0,938,94,709,-3.7,41.300000000000004,981,225,3.8000000000000003,0.15
2020,1,2,17,0,859,80,487,-4.6000000000000005,39.900000000000006,981,218,3.7,0.15
2020,1,2,18,0,699,59,251,-5.4,37.5,981,209,2.6,0.15
2020,1,2,19,0,317,24,47,-6,32.300000000000004,982,197,1.8,0.15
2020,1,2,20,0,0,0,0,-7,30.900000000000002,982,184,2.3000000000000003,0.15
2020,1,2,21,0,0,0,0,-7.4,29.8,982,172,2.6,0.15
2020,1,2,22,0,0,0,0,-7.5,28.6,982,161,2.7,0.15
2020,1,2,23,0,0,0,0,-7.300000000000001,27.5,982,150,2.6,0.15
2020,1,3,0,0,0,0,0,-7.2,26.5,982,139,2.5,0.15
2020,1,3,1,0,0,0,0,-7,25.700000000000003,981,126,2.5,0.15
