FID,SAMPLE_GEOMETRY,DEPOSIT_LATITUDE,DEPOSIT_LONGITUDE,DEPOSIT_UID,ALL_COMMODITIES,CU_PPM
CriticalMineralDepositsGeochemistry.ga.616.7372958.4acid,POINT (-31.177781 121.678328),-31.1778,121.6783,AUS.WA.652961,"Ni, PGE, Cu, Co",4120.0
CriticalMineralDepositsGeochemistry.ga.1026.7368457.wholerock,POINT (-28.301986 120.491972),-28.302,120.492,AUS.WA.652962,"Ni, Cu, Co, PGE",
CriticalMineralDepositsGeochemistry.ga.580.7372828.wholerock,POINT (-31.286421 122.837997),-31.2864,122.838,AUS.WA.652969,"Cu, Au",
