Latitude,Longitude,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total Load Served (kWh),Total CO2 emissions (tonne),System Cost ($),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Deposit_ID,Configuration_Index
-19.6671,134.22,16556.37177,20000,19000.0,74000.0,9000,2755176433.150074,952337056.764315,1212871536.6597278,589967839.7260312,-38483.43134842372,1969558247.65,386133.9511006874,518494021.73364276,124278338.24863498,0.2632539668995774,29300,0.0,127329244.67024249,2.5011104298755527e-10,0.0,100.0,25,DEP_34,34
-22.6868,136.2415,15053.47377,21000,19000.0,65000.0,9000,2753842060.435091,868588824.7659558,1250810376.6875725,634442858.9815624,-75272.31469686603,1969558247.65,415242.85120343254,527688507.0103021,126482173.40070501,0.2679222651271774,22500,0.0,99933482.90098178,3.183231456205249e-10,0.0,100.0,25,DEP_35,35
-19.7162,134.2817,16176.13658,20000,19000.0,74000.0,9000,2735553816.9839244,933586363.8819016,1212871536.6597278,589095916.442295,-37071.7971039325,1969558247.65,385563.277311482,517767998.9043552,124104317.12790395,0.26288534473257436,29300,0.0,125965404.68050425,1.5916157281026244e-10,0.0,100.0,25,DEP_36,36
-21.5127,134.1564,14744.51506,20000,19000.0,72000.0,9000,2724140295.155739,846780217.9930034,1269005582.1935475,608354494.9691877,-77330.34955115768,1969558247.65,398168.0169573333,522154007.37575626,125155603.78025068,0.2651122443313215,26675,0.0,110890460.63855927,1.8189894035458565e-10,0.0,100.0,25,DEP_37,37
-20.7434,139.4783,16850.07024,21000,19000.0,71000.0,9000,2764837751.3951464,963652190.4155744,1130509813.9215286,670675747.0580437,-62228.45423093469,1969558247.65,438957.2764494896,550348632.1574132,131913600.91914181,0.27942744664397096,25350,0.0,115360750.32044016,1.1368683772161603e-10,0.0,100.0,25,DEP_38,38
-23.6356,150.375,18951.2456,23000,19000.0,77000.0,9000,2705036597.437443,983929551.5168704,1072414736.6076221,648692309.31295,-77334.96067079908,1969558247.65,424569.1164453258,564763412.0605518,135368693.5865403,0.28674623496634605,25950,0.0,115827293.18526156,1.8189894035458565e-10,0.0,100.0,25,DEP_39,39
-21.54,140.5017,16184.22219,21000,19000.0,74000.0,9000,2770603544.668554,931020994.9525353,1178198153.776527,661384395.9394917,-69149.36987628258,1969558247.65,432876.08714239736,551757068.7093476,132251190.4512598,0.2801425494106014,25200,0.0,113797503.35862392,9.094947017729282e-11,0.0,100.0,25,DEP_40,40
-20.5711,139.472,16800.98875,21000,19000.0,71000.0,9000,2764622009.731381,964281453.8691351,1130509813.9215286,669830741.9407171,-64615.677912345105,1969558247.65,438404.22060019936,549984697.2697152,131826369.01061837,0.2792426666872815,25125,0.0,113848625.32957834,1.8189894035458565e-10,0.0,100.0,25,DEP_41,41
-19.6961,139.366,17555.16313,22000,19000.0,71000.0,9000,2777167014.066284,980265296.7580131,1121109757.8978546,675791959.4104167,-44700.31959047863,1969558247.65,442305.83743411774,555315371.5322918,133104083.52868105,0.28194919962122084,25875,0.0,123335344.96005844,1.3642420526593924e-10,0.0,100.0,25,DEP_42,42
-22.0939,140.5736,15673.6825,22000,19000.0,72000.0,9000,2772894713.510207,910961980.7824706,1202035294.1537237,659897438.5740126,-73053.2149864093,1969558247.65,431902.87354669126,550076850.5305371,131848457.31566931,0.2792894554841764,23450,0.0,109794119.66093837,9.094947017729282e-11,0.0,100.0,25,DEP_43,43
-20.7216,139.4782,16973.70851,21000,19000.0,70000.0,9000,2766303460.865706,963075752.2821332,1130509813.9215286,672717894.6620439,-61425.83005232709,1969558247.65,440293.8620563077,550183795.8794465,131874091.1507547,0.27934375463934835,24900,0.0,113153992.95242102,9.094947017729282e-11,0.0,100.0,25,DEP_44,44
-18.5074,144.0999,18083.87628,21000,19000.0,78000.0,9000,2726548606.8982935,993989286.6006758,1032518237.3804405,700041082.9171772,-24637.915229744875,1969558247.65,458176.88876929245,571790796.5051532,137053094.22454426,0.2903142352796073,25675,0.0,114724098.70684324,2.2737367544323206e-11,0.0,100.0,25,DEP_45,45
-20.8766,139.9862,16280.1471,21000,19000.0,71000.0,9000,2750009048.92959,933968644.0844951,1144750974.5058587,671289430.3392366,-60266.80054091162,1969558247.65,439358.93215703033,550844826.7434376,132032534.2838755,0.27967937856150443,25575,0.0,114614972.42342338,6.821210263296962e-11,0.0,100.0,25,DEP_46,46
-17.1187,144.4047,20351.67849,21000,19000.0,79000.0,9000,2759612367.858705,1105199461.0311968,889116793.9851075,765296112.8424006,-38392.599746239175,1969558247.65,500886.30585535115,607212360.4552202,145543323.4680041,0.30829875743950313,25100,0.0,119938886.36014852,1.5916157281026244e-10,0.0,100.0,25,DEP_47,47
-20.7759,140.0445,17009.51653,22000,19000.0,71000.0,9000,2815404543.212191,977414678.0221788,1182095053.7394774,655894811.4505349,-46731.32963409636,1969558247.65,429283.1540943751,548720188.9609939,131523277.77962592,0.27860064032922377,23950,0.0,110613334.5506262,9.094947017729282e-11,0.0,100.0,25,DEP_48,48
-20.7216,139.4782,16973.70851,21000,19000.0,70000.0,9000,2766303460.865706,963075752.2821332,1130509813.9215286,672717894.6620439,-61425.83005232709,1969558247.65,440293.8620563077,550183795.8794465,131874091.1507547,0.27934375463934835,24900,0.0,113153992.95242102,9.094947017729282e-11,0.0,100.0,25,DEP_49,49
-21.0446,139.9062,16411.0798,22000,19000.0,70000.0,9000,2777026923.134573,933538210.0643787,1182095053.7394774,661393659.3307171,-68140.39381734096,1969558247.65,432882.1500319543,548990527.3492151,131588075.45181628,0.27873789871624727,24550,0.0,110344244.56211908,2.955857780762017e-10,0.0,100.0,25,DEP_50,50
-20.1656,139.4582,17976.68843,20000,19000.0,76000.0,9000,2767900101.586571,1026851133.0872746,1054974133.7014952,686074834.7978016,-45272.95090341798,1969558247.65,449035.9793751611,561808582.7401738,134660447.66208962,0.28524598519008104,25750,0.0,123963305.32649465,9.094947017729282e-11,0.0,100.0,25,DEP_51,51
-18.609,143.993,17410.26778,21000,19000.0,78000.0,9000,2738095706.849677,968055879.6384943,1040149989.9686877,729889837.2424952,-30817.751246086085,1969558247.65,477712.89847521303,581455970.3444152,139369749.17769378,0.2952215153007969,26350,0.0,117924419.53717326,2.5011104298755527e-10,0.0,100.0,25,DEP_52,52
-20.7187,140.6487,19021.42801,20000,19000.0,78000.0,9000,2869051101.104253,1089661203.8424346,1083881920.2806191,695507976.9811994,-50036.82539948914,1969558247.65,455209.970934195,568799689.4501932,136336152.85447547,0.2887955662793232,23875,0.0,117560961.14866547,2.2737367544323206e-11,0.0,100.0,25,DEP_53,53
-20.4447,140.7058,18000.30072,20000,19000.0,64000.0,9000,2813368249.119602,1030573522.2491658,1083881920.2806191,698912806.589817,-63312.301721576136,1969558247.65,457438.4319130352,549615601.9302785,131737900.18837982,0.27905526662441105,23550,0.0,112365854.19533,2.2737367544323206e-11,0.0,100.0,25,DEP_54,54
-20.2545,140.1558,18211.75313,21000,19000.0,73000.0,9000,2838662997.298342,1038145978.1000965,1128163955.0256488,672353064.1725969,-48387.03253447615,1969558247.65,440055.0805009647,554312197.1276125,132863631.67627542,0.28143985982084874,24425,0.0,117259781.77975689,4.547473508864641e-11,0.0,100.0,25,DEP_55,55
-20.5636,139.9752,16969.68752,21000,19000.0,70000.0,9000,2774649639.0415463,968049805.5691592,1128163955.0256488,678435878.4467384,-48919.9158676314,1969558247.65,444036.2824433902,551649477.1206882,132225401.71833785,0.28008792214137096,25925,0.0,119139419.2175169,6.821210263296962e-11,0.0,100.0,25,DEP_56,56
-21.6784,140.4744,16649.61687,21000,19000.0,72000.0,9000,2793104156.9946566,957389513.5755593,1178198153.776527,657516489.6425704,-76946.84410376506,1969558247.65,430344.5424710623,547396584.8502711,131206021.81815952,0.27792860937390573,24200,0.0,109465091.20407528,1.3642420526593924e-10,0.0,100.0,25,DEP_57,57
-20.625,140.6885,18893.88557,20000,19000.0,76000.0,9000,2867400303.1181035,1089240942.3368979,1083881920.2806191,694277440.5005864,-49141.047471136706,1969558247.65,454404.5848076338,565039474.6826758,135434863.30594313,0.28688639970757857,23775,0.0,117363387.12086608,2.2737367544323206e-11,0.0,100.0,25,DEP_58,58
-20.7406,139.9112,16955.49774,21000,19000.0,75000.0,9000,2777804673.8183827,970556184.0152124,1128163955.0256488,679084534.7775217,-41095.180972287315,1969558247.65,444460.82801188796,559075980.3482566,134005467.52707046,0.2838585662624216,26600,0.0,123769463.78442252,6.821210263296962e-11,0.0,100.0,25,DEP_59,59
-21.545,140.497,16184.22219,21000,19000.0,74000.0,9000,2770656199.527623,931436298.534219,1178198153.776527,661021747.2168775,-74211.58536455987,1969558247.65,432638.7335534463,551377524.0925633,132160217.0315327,0.27994984395635186,25400,0.0,114079041.82820483,6.821210263296962e-11,0.0,100.0,25,DEP_60,60
-19.474,139.3889,18019.06674,21000,19000.0,64000.0,9000,2786650361.316622,1021412106.1246938,1084614748.113603,680623507.0783248,-57319.09003646437,1969558247.65,445468.0853827636,544482202.2884974,130507470.61676477,0.27644889555216373,24575,0.0,119556308.63798381,1.3642420526593924e-10,0.0,100.0,25,DEP_61,61
-21.2785,140.5052,16913.67058,21000,19000.0,71000.0,9000,2814571019.6388702,981152693.8531939,1178198153.776527,655220172.0091493,-77858.352470113,1969558247.65,428841.6025799882,544772060.4077449,130576946.99234091,0.27659606465447045,23975,0.0,109628433.82901736,2.2737367544323206e-11,0.0,100.0,25,DEP_62,62
-20.9549,140.9799,18909.4428,20000,19000.0,76000.0,9000,2886240345.0703325,1083637951.1827402,1108910792.2701948,693691601.6173975,-54717.71346664059,1969558247.65,454021.15325858665,567154976.7852193,135941930.0701587,0.2879604994987716,22575,0.0,110574671.73141754,0.0,0.0,100.0,25,DEP_63,63
-19.1596,139.4342,18131.02178,21000,19000.0,64000.0,9000,2763806197.3887725,1017545049.7725097,1048959571.1292604,697301576.4870023,-57722.60805150164,1969558247.65,456383.88181074295,550790438.6177673,132019497.94093722,0.2796517641836432,25275,0.0,122508212.71395802,9.094947017729282e-11,0.0,100.0,25,DEP_64,64
-24.017,148.917,23173.48546,20000,19000.0,83000.0,9000,2669226169.0724125,1233957036.3174767,504623083.99790365,930646048.7570322,-91755.32084867317,1969558247.65,609107.8389114776,680224323.5787762,163043632.18694916,0.3453689802728065,23750,0.0,134889626.97912562,3.637978807091713e-10,0.0,100.0,25,DEP_65,65
-20.3054,140.1508,18886.2625,21000,19000.0,75000.0,9000,2875845102.5995016,1079124615.099209,1128163955.0256488,668556532.4746438,-46518.53629966098,1969558247.65,437570.25050465437,556381050.3673931,133359517.12903446,0.2824902746751691,23825,0.0,116289453.0490763,6.821210263296962e-11,0.0,100.0,25,DEP_66,66
-22.0815,140.5842,15849.22853,22000,19000.0,71000.0,9000,2781157649.6537867,919441154.4669951,1202035294.1537237,659681201.0330678,-74775.7933640955,1969558247.65,431761.34607614286,548659374.5024203,131508701.10268037,0.27856976312178594,22875,0.0,107604893.98333612,9.094947017729282e-11,0.0,100.0,25,DEP_67,67
-35.0919,139.0054,12336.03896,24000,19000.0,53000.0,9000,2458511715.120696,541198832.5529183,1155255972.1340544,762056910.4337234,-18127.687598789456,1969558247.65,498766.247878872,578628494.1234504,138692028.64196974,0.29378592626739897,24600,0.0,81120472.96108791,9.890754881780595e-10,0.0,100.0,25,DEP_68,68
-29.72,135.5749,13894.78337,22000,19000.0,61000.0,9000,2714385868.945711,768949729.1453557,1308378695.9072113,637057443.893144,-39922.88313774268,1969558247.65,416954.09702806274,523669079.08377653,125518752.79703338,0.2658814887595216,26875,0.0,104665570.93502858,4.320099833421409e-10,0.0,100.0,25,DEP_69,69
-31.1051,137.1544,14759.28328,22000,19000.0,59000.0,9000,2746755770.811746,810304998.3974832,1283535218.4866028,652915553.9276601,-44998.12340386106,1969558247.65,427333.23004565353,526244720.22496474,126136110.736632,0.2671892140549077,25775,0.0,100592272.8615271,2.2737367544323206e-10,0.0,100.0,25,DEP_70,70
-30.4374,136.8893,14164.69687,23000,19000.0,62000.0,9000,2744468966.773958,780925607.6899521,1309262453.9464564,654280905.1375494,-31658.490833602642,1969558247.65,428226.8524125261,535593506.1654315,128376930.36544591,0.2719358550601287,26825,0.0,100386444.9159231,4.092726157978177e-10,0.0,100.0,25,DEP_71,71
-33.9763,137.689,11264.24256,23000,19000.0,58000.0,9000,2853330428.7829804,544913875.2775455,1734239912.2777832,574176641.2276522,-24321.705319394794,1969558247.65,375798.6116834983,487005288.12829566,116730772.94992293,0.2472662530846048,19725,0.0,69108253.82529649,5.229594535194337e-10,0.0,100.0,25,DEP_72,72
-34.0407,137.6207,11396.11,22000,19000.0,56000.0,9000,2785414377.3341055,553008847.2121334,1645639554.4717724,586765975.6501998,-24911.20370146953,1969558247.65,384038.3310630558,487543206.86172664,116859707.21628167,0.24753936952280756,19775,0.0,71117372.8996511,4.547473508864641e-10,0.0,100.0,25,DEP_73,73
-34.5375,137.8722,9743.093869,22000,19000.0,54000.0,9000,2618856583.712764,447246564.680094,1514797666.7184496,656812352.3142201,-19910.906627786557,1969558247.65,429883.684589657,516203833.56618273,123729400.81098245,0.262091174090483,21500,0.0,75289049.61673035,6.252776074688882e-10,0.0,100.0,25,DEP_74,74
-41.603,145.6999,19743.02812,25000,19000.0,61000.0,9000,2222382040.411059,644335915.0823536,571146081.2144866,1006900044.1142186,-15568.759796772672,1969558247.65,659016.078872756,718176326.5042655,172140384.81876665,0.364638277319884,25725,0.0,95859775.20466487,1.8417267710901797e-09,0.0,100.0,25,DEP_75,75
-41.477,145.385,15529.3955,26000,19000.0,61000.0,9000,2143475681.4074411,497749871.0124115,590260489.0933994,1055465321.3016304,3144.364812913419,1969558247.65,690802.0527919171,738738402.9321557,177068928.9914753,0.37507822061804447,24250,0.0,76622434.46473941,1.659827830735594e-09,0.0,100.0,25,DEP_76,76
-41.7723,145.5431,19375.72912,27000,19000.0,66000.0,9000,2468897554.739287,587651817.6791271,1059427069.1416094,821818667.9185504,-2169.6142475367014,1969558247.65,537880.3181526912,645915740.8955652,154820174.50988892,0.32794954993905184,24875,0.0,89533841.0618611,1.0800249583553523e-09,0.0,100.0,25,DEP_77,77
-41.8501,145.5144,19880.06267,24000,19000.0,62000.0,9000,2417223662.713679,619364855.745534,953392635.854288,844466171.1138568,-9713.154304510026,1969558247.65,552703.1089940192,641558825.6749904,153775861.247235,0.32573742180028104,25000,0.0,91273528.22094475,1.1596057447604835e-09,0.0,100.0,25,DEP_78,78
-41.5746,145.7221,19892.78569,25000,19000.0,61000.0,9000,2216934154.642934,629347502.9454803,571146081.2144866,1016440570.4829668,-12978.42958496723,1969558247.65,665260.3533811017,722187688.94739,173101872.19884795,0.366674958615251,25375,0.0,94497347.26710981,1.8076207197736949e-09,0.0,100.0,25,DEP_79,79
