Iteration,Objective Value,Parameters,Time (seconds)
91,0.30718296,"[42539, 12, 16523, 6523, 26648]",1047.237832
92,0.251072027,"[25039, 29, 24023, 9023, 20148]",1058.886082
93,0.261523334,"[20664, 16, 29648, 9648, 18523]",1070.198789
94,0.273650303,"[38164, 34, 22148, 7148, 25023]",1081.946972
95,0.285454736,"[29414, 25, 25898, 8398, 28273]",1093.757006
96,0.252632328,"[11914, 43, 18398, 5898, 21773]",1105.685958
97,0.295584976,"[11367, 15, 20977, 6758, 23602]",1117.228851
98,0.247298953,"[28867, 32, 28477, 9258, 17102]",1129.185448
99,0.260544106,"[37617, 23, 17227, 5508, 20352]",1140.737511
100,0.268678185,"[20117, 41, 24727, 8008, 26852]",1152.59707
101,0.292083383,"[24492, 19, 26602, 8633, 28477]",1164.02982
102,0.267204627,"[41992, 37, 19102, 6133, 21977]",1175.773551
103,0.279256875,"[33242, 10, 22852, 9883, 18727]",1187.325899
104,0.261224923,"[15742, 28, 15352, 7383, 25227]",1199.045055
105,0.242671002,"[17930, 26, 23789, 5820, 17914]",1210.811116
106,0.267556551,"[35430, 43, 16289, 8320, 24414]",1222.639051
107,0.306925572,"[44180, 17, 27539, 7070, 27664]",1234.172452
108,0.25151199,"[26680, 34, 20039, 9570, 21164]",1245.799139
109,0.282519242,"[22305, 12, 18164, 8945, 22789]",1257.385718
110,0.291720694,"[39805, 30, 25664, 6445, 29289]",1269.274597
111,0.280330067,"[31055, 21, 21914, 7695, 26039]",1280.840641
112,0.251373916,"[13555, 39, 29414, 5195, 19539]",1292.791778
113,0.284456687,"[12461, 22, 16758, 9727, 27258]",1304.284348
114,0.25748095,"[29961, 40, 24258, 7227, 20758]",1316.26418
115,0.265838989,"[38711, 14, 20508, 8477, 17508]",1327.936261
116,0.263181369,"[21211, 31, 28008, 5977, 24008]",1339.624777
117,0.283759962,"[25586, 18, 26133, 5352, 25633]",1351.007494
118,0.259086728,"[43086, 35, 18633, 7852, 19133]",1362.078657
119,0.270582304,"[34336, 27, 29883, 6602, 22383]",1373.191722
120,0.273541472,"[16836, 44, 22383, 9102, 28883]",1384.736997
121,0.296784402,"[14648, 11, 28945, 7539, 21570]",1395.930977
122,0.279627052,"[32148, 29, 21445, 5039, 28070]",1407.560407
123,0.287543523,"[40898, 20, 25195, 8789, 24820]",1419.213982
124,0.240281872,"[23398, 38, 17695, 6289, 18320]",1431.171918
125,0.248127174,"[19023, 24, 19570, 6914, 19945]",1442.905132
126,0.281365427,"[36523, 42, 27070, 9414, 26445]",1454.86699
127,0.296885626,"[27773, 16, 15820, 5664, 29695]",1466.654574
128,0.263916906,"[10273, 33, 23320, 8164, 23195]",1478.401864
129,0.299402801,"[10410, 22, 19395, 5957, 28730]",1490.01067
130,0.261590741,"[27910, 39, 26895, 8457, 22230]",1501.836912
131,0.269032776,"[36660, 13, 15645, 7207, 18980]",1513.37603
132,0.264801049,"[19160, 30, 23145, 9707, 25480]",1524.924118
133,0.280262779,"[23535, 17, 28770, 9082, 23855]",1536.427897
134,0.253922465,"[41035, 35, 21270, 6582, 17355]",1548.088818
135,0.260296331,"[32285, 26, 25020, 7832, 20605]",1559.73098
136,0.265756673,"[14785, 43, 17520, 5332, 27105]",1571.507565
137,0.296285966,"[16973, 11, 25957, 6270, 23043]",1582.800478
138,0.284575529,"[34473, 28, 18457, 8770, 29543]",1594.277666
139,0.299279629,"[43223, 19, 29707, 5020, 26293]",1605.885921
140,0.249083885,"[25723, 37, 22207, 7520, 19793]",1617.623662
141,0.239961141,"[21348, 24, 16582, 8145, 18168]",1629.527961
142,0.276304624,"[38848, 41, 24082, 5645, 24668]",1641.335416
143,0.297530563,"[30098, 15, 20332, 9395, 27918]",1652.873616
144,0.25681423,"[12598, 33, 27832, 6895, 21418]",1664.579368
145,0.29097298,"[13691, 16, 17988, 7988, 25887]",1676.047515
146,0.253741822,"[31191, 34, 25488, 5488, 19387]",1687.561467
147,0.272172129,"[39941, 25, 21738, 9238, 22637]",1699.134996
148,0.279378748,"[22441, 42, 29238, 6738, 29137]",1710.779016
149,0.283934722,"[26816, 21, 23613, 7363, 27512]",1722.207777
150,0.264926691,"[44316, 38, 16113, 9863, 21012]",1733.839031
151,0.274835764,"[35566, 12, 27363, 6113, 17762]",1745.051641
152,0.259426356,"[18066, 29, 19863, 8613, 24262]",1756.542961
153,0.25231445,"[15879, 27, 26426, 9551, 20199]",1768.098792
154,0.274358276,"[33379, 45, 18926, 7051, 26699]",1779.941745
155,0.307877668,"[42129, 18, 22676, 8301, 29949]",1791.229585
156,0.253791275,"[24629, 36, 15176, 5801, 23449]",1802.822275
157,0.273647444,"[20254, 14, 20801, 5176, 21824]",1813.773213
158,0.288221343,"[37754, 31, 28301, 7676, 28324]",1824.667293
159,0.2698343,"[29004, 23, 17051, 6426, 25074]",1835.384187
160,0.24648397,"[11504, 40, 24551, 8926, 18574]",1846.425866
161,0.329319584,"[12051, 12, 29941, 8691, 26902]",1857.062778
162,0.253717817,"[29551, 30, 22441, 6191, 20402]",1867.894932
163,0.258202575,"[38301, 21, 26191, 9941, 17152]",1878.778261
164,0.255147298,"[20801, 39, 18691, 7441, 23652]",1890.052202
165,0.268679371,"[25176, 25, 20566, 6816, 25277]",1901.156812
166,0.268239492,"[42676, 43, 28066, 9316, 18777]",1912.775201
167,0.270674756,"[33926, 17, 16816, 5566, 22027]",1923.821478
168,0.274466006,"[16426, 34, 24316, 8066, 28527]",1935.916136
169,0.257104203,"[18613, 19, 15879, 9004, 21215]",1948.356802
170,0.280743256,"[36113, 36, 23379, 6504, 27715]",1960.496779
171,0.308581024,"[44863, 10, 19629, 7754, 24465]",1971.826179
172,0.24832137,"[27363, 28, 27129, 5254, 17965]",1982.676694
173,0.26552246,"[22988, 15, 25254, 5879, 19590]",1993.459604
174,0.276342664,"[40488, 32, 17754, 8379, 26090]",2004.800301
175,0.294835657,"[31738, 23, 29004, 7129, 29340]",2016.449289
176,0.255851033,"[14238, 41, 21504, 9629, 22840]",2028.758457
177,0.270205764,"[13145, 24, 22910, 5410, 24059]",2041.048047
178,0.243975526,"[30645, 42, 15410, 7910, 17559]",2053.415679
179,0.278981096,"[39395, 16, 26660, 6660, 20809]",2065.417142
180,0.266635727,"[21895, 33, 19160, 9160, 27309]",2077.855973
181,0.311062712,"[26270, 11, 17285, 9785, 28934]",2089.764193
182,0.274514415,"[43770, 29, 24785, 7285, 22434]",2102.032742
183,0.260004013,"[35020, 20, 21035, 8535, 19184]",2114.141653
184,0.267879186,"[17520, 37, 28535, 6035, 25684]",2126.38857
185,0.254399833,"[15332, 18, 21973, 6973, 18371]",2138.689719
186,0.274050204,"[32832, 35, 29473, 9473, 24871]",2151.286166
187,0.286578294,"[41582, 27, 18223, 5723, 28121]",2163.662532
188,0.257859203,"[24082, 44, 25723, 8223, 21621]",2176.491544
189,0.268547156,"[19707, 22, 27598, 7598, 23246]",2188.63865
190,0.285298462,"[37207, 40, 20098, 5098, 29746]",2201.167975
191,0.299559261,"[28457, 13, 23848, 8848, 26496]",2213.097378
192,0.247099504,"[10957, 31, 16348, 6348, 19996]",2225.382733
193,0.277939065,"[10684, 17, 23965, 9512, 20301]",2237.300066
194,0.266990386,"[28184, 34, 16465, 7012, 26801]",2249.662191
195,0.275630599,"[36934, 26, 27715, 8262, 23551]",2261.868277
196,0.238370906,"[19434, 43, 20215, 5762, 17051]",2274.561093
197,0.247186039,"[23809, 21, 18340, 5137, 18676]",2286.91172
198,0.280745238,"[41309, 39, 25840, 7637, 25176]",2299.475219
199,0.308058963,"[32559, 13, 22090, 6387, 28426]",2311.822397
200,0.25910255,"[15059, 30, 29590, 8887, 21926]",2323.319452
201,0.277507655,"[17246, 24, 21152, 7949, 27613]",2334.670407
202,0.266268199,"[34746, 41, 28652, 5449, 21113]",2346.535455
203,0.267180728,"[43496, 15, 17402, 9199, 17863]",2358.427491
204,0.264804971,"[25996, 32, 24902, 6699, 24363]",2370.54767
205,0.309428406,"[21621, 10, 26777, 7324, 25988]",2382.675224
206,0.25746382,"[39121, 28, 19277, 9824, 19488]",2395.126617
207,0.271877232,"[30371, 19, 23027, 6074, 22738]",2407.41805
208,0.272892336,"[12871, 37, 15527, 8574, 29238]",2420.024579
209,0.253338062,"[13965, 20, 28184, 6543, 17457]",2432.141809
210,0.264562718,"[31465, 38, 20684, 9043, 23957]",2444.665666
211,0.313317778,"[40215, 12, 24434, 5293, 27207]",2456.790865
212,0.24634,"[22715, 29, 16934, 7793, 20707]",2469.110966
213,0.270711031,"[27090, 16, 18809, 8418, 22332]",2481.37499
214,0.293610362,"[44590, 33, 26309, 5918, 28832]",2493.76418
215,0.273344239,"[35840, 25, 15059, 9668, 25582]",2505.206776
216,0.245046307,"[18340, 42, 22559, 7168, 19082]",2516.775826
217,0.286259913,"[16152, 14, 15996, 6230, 24770]",2528.630861
218,0.251097071,"[33652, 31, 23496, 8730, 18270]",2540.707525
219,0.271753444,"[42402, 22, 19746, 7480, 21520]",2552.925971
220,0.275838354,"[24902, 40, 27246, 9980, 28020]",2565.359651
221,0.282700811,"[20527, 27, 25371, 9355, 29645]",2577.612301
222,0.268320264,"[38027, 44, 17871, 6855, 23145]",2590.419564
223,0.266834718,"[29277, 18, 29121, 8105, 19895]",2602.647965
224,0.270165526,"[11777, 36, 21621, 5605, 26395]",2614.393701
225,0.260188055,"[11230, 26, 17637, 7090, 22129]",2625.866535
226,0.279921671,"[28730, 44, 25137, 9590, 28629]",2637.874878
227,0.286739542,"[37480, 18, 21387, 5840, 25379]",2649.989521
228,0.24704689,"[19980, 35, 28887, 8340, 18879]",2662.37361
229,0.260208135,"[24355, 13, 23262, 7715, 17254]",2673.922114
230,0.269274025,"[41855, 31, 15762, 5215, 23754]",2685.547432
231,0.287806153,"[33105, 22, 27012, 8965, 27004]",2697.002738
232,0.246295394,"[15605, 39, 19512, 6465, 20504]",2709.220895
233,0.309540964,"[17793, 15, 27949, 5527, 29441]",2721.269868
234,0.263825695,"[35293, 33, 20449, 8027, 22941]",2733.073146
235,0.268195198,"[44043, 24, 24199, 6777, 19691]",2744.265331
236,0.264881546,"[26543, 42, 16699, 9277, 26191]",2755.364848
237,0.272298502,"[22168, 20, 22324, 9902, 24566]",2766.335654
238,0.26172417,"[39668, 37, 29824, 7402, 18066]",2777.867375
239,0.282384739,"[30918, 11, 18574, 8652, 21316]",2788.937581
240,0.280519582,"[13418, 28, 26074, 6152, 27816]",2800.886397
241,0.28303671,"[12324, 12, 19980, 8809, 19285]",2812.810296
