Method,Deposit UID,Latitude,Longitude,Iterations,Duration (seconds),LCOE,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Load Reduction Percentage,Total Charging Prevented (kWh),Demand Not Served (kWh),Demand Met Percentage,Project Lifetime (years)
Powell,AUS.NSW.333485,-31.1629,145.6538,0,4451.306130409241,0.2563731654061696,19384.0,23000,17002.0,15001.0,10000.0,2874924357.8562527,1017266915.0328704,1197776020.7480059,659881422.0753764,-92136.7353639389,121030012.74193653,0.2563731654061696,11850,2.2737367544323206e-11,1969558247.65,1.1544399649745087e-18,41369622.21882181,0.0,100.0,25
Powell,AUS.NSW.333485,-31.1629,145.6538,0,4451.306130409241,0.2563731654061696,19384.0,23000,17002.0,15001.0,10000.0,2874924357.8562527,1017266915.0328704,1197776020.7480059,659881422.0753764,-92136.7353639389,121030012.74193653,0.2563731654061696,11850,2.2737367544323206e-11,1969558247.65,1.1544399649745087e-18,41369622.21882181,0.0,100.0,25
