Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%),Specific Carbon Emission_DG (kg/kWh)
-23.432,117.9,AUS.WA.335066,25865,9000,17000,5000,2577,2803752110,1465402519,438884908.4,899464683.2,-28485.11737,588699.6351,0.299,57%,121359493.4,0.257071091,21500,1.80E-09,1969558248,20552786.39,0,9.12E-17,100,25,68%,
-32.7509,116.3581,AUS.WA.335111,22270,11000,17000,5000,1212,2629043758,1111689069,777469180.3,739885509.1,-14146.50743,484255.0657,0.246,65%,109384911.2,0.2317058,30100,1.55E-09,1969558248,22142065.97,0,7.85E-17,100,25,72%,
-25.5443,119.348,AUS.WA.568323,20952,7000,17000,9000,1876,2543875826,1205780756,438932815.4,899162254.9,-20329.90106,588501.6958,0.299,57%,119504050.7,0.253140779,38925,2.47E-09,1969558248,39480897.33,0,1.25E-16,100,25,65%,
-24.237,115.9535,AUS.WA.652958,17661,30000,17000,5000,1719,3161757860,1045557022,1534259718,581941119.8,-21163.97948,380880.4629,0.193,72%,103281264.3,0.218776682,15775,8.30E-10,1969558248,14906801.05,0,4.21E-17,100,25,82%,
-27.5191,120.588,AUS.WA.652960,16765,33000,17000,5000,5895,3355132936,953072932.3,1946292734,455767269.4,-42236.88139,298299.6778,0.151,78%,93054851.59,0.19711447,7050,9.09E-10,1969558248,13772308.78,0,4.62E-17,100,25,86%,
-33.5265,149.1588,AUS.NSW.333484,29292,1000,17000,5000,2610,2554244485,1343766815,9670029.576,1200807640,-29356.30701,785928.6006,0.399,43%,142823214,0.302536855,44675,8.41E-10,1969558248,11387075.68,0,4.27E-17,100,25,53%,
-31.1629,145.6538,AUS.NSW.333485,23616,9000,17000,5000,2373,2636724728,1239359997,495333792.2,902030938.3,-25956.47233,590379.2491,0.300,57%,121744047.9,0.257885678,23900,2.16E-09,1969558248,21965139.25,0,1.10E-16,100,25,66%,
-31.5001,145.8422,AUS.NSW.334161,22846,9000,17000,5000,2356,2592088309,1190684777,500723170.6,900680361.6,-26110.39063,589495.2967,0.299,57%,121380055.7,0.257114648,24600,2.25E-09,1969558248,22472985.33,0,1.14E-16,100,25,65%,
-22.6513,136.268,AUS.NT.334762,15191,34000,17000,6000,1195,3288858649,879981270.3,1911952583,496924796.2,-10099.99186,325237.2791,0.165,76%,97931106.76,0.207443652,24175,7.73E-10,1969558248,19131619.05,0,3.93E-17,100,25,85%,
-13.4996,131.713,AUS.NT.334824,23970,6000,17000,11000,1724,2511431363,1257481148,210018620.7,1043931594,-14639.17393,683253.228,0.347,51%,132736702.7,0.281170991,47475,1.23E-09,1969558248,37271151.22,0,6.23E-17,100,25,58%,
