Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%),Specific Carbon Emission_DG (kg/kWh)
-31.8199,123.1924,AUS.WA.561110,21153,10000,17000,6000,1773,2605414367,1102044460,694343832.8,809026073.5,-29858.74798,529507.5651,0.269,62%,114100032.8,0.241693659,6750,0,1969558248,7210059.838,0,0,100,25,69%,
-35.0613,149.5717,AUS.NSW.335841,25604,10000,17000,5000,2503,2545775530,1153793021,485226280.4,906756227.9,-44070.39029,593471.9512,0.301,57%,125007801,0.264799159,7025,6.82E-11,1969558248,8662547.408,0,3.46E-18,100,25,64%,
-29.5,152.4897,AUS.NSW.335959,25130,9000,17000,8000,1434,2302946099,1036497244,24500635.46,1241948220,-20048.71028,812855.1099,0.413,41%,153654091.9,0.325479483,5900,1.36E-10,1969558248,6121160.68,0,6.93E-18,100,25,46%,
-34.1848,147.3854,AUS.NSW.455899,20194,30000,17000,5000,2776,2951923769,981116201.4,1286278816,684528751.5,-38485.60214,448024.0678,0.227,68%,115527385.4,0.244717164,6400,4.55E-11,1969558248,9109343.402,0,2.31E-18,100,25,77%,
-22.6513,136.268,AUS.NT.334762,15191,34000,17000,6000,1195,3288858649,879981270.3,1911952583,496924796.2,-16396.59425,325237.2791,0.165,76%,97931106.76,0.207443652,6550,2.27E-11,1969558248,4913264.56,0,1.15E-18,100,25,85%,
-13.4996,131.713,AUS.NT.334824,23970,6000,17000,11000,1724,2511431363,1257481148,210018620.7,1043931594,-26026.8702,683253.228,0.347,51%,132736702.7,0.281170991,3875,2.27E-11,1969558248,4786375.589,0,1.15E-18,100,25,58%,
-19.4387,134.0281,AUS.NT.334931,17750,32000,17000,5000,6735,3316907586,1018105649,1842365671,456436265.9,-50965.66897,298737.5361,0.152,78%,92130730.77,0.195156941,7300,6.82E-11,1969558248,12273004.64,0,3.46E-18,100,25,86%,
-17.1813,137.7848,AUS.NT.333325,21024,30000,17000,5000,1040,2958374137,1149318084,1203683829,605372223.5,-15273.82488,396216.1203,0.201,71%,107715307.2,0.228169143,5600,6.82E-11,1969558248,3841365.617,0,3.46E-18,100,25,80%,
-19.6271,134.15,AUS.NT.333391,21074,10000,17000,6000,1912,2635260244,1216170017,632841678.4,786248548.2,-30585.44196,514599.6748,0.261,63%,111593742.2,0.236384681,5550,4.55E-11,1969558248,5675746.575,0,2.31E-18,100,25,70%,
-16.436,136.0985,AUS.NT.333587,24643,9000,17000,5000,2831,2642551927,1342620944,378028764.3,921902218.4,-40590.80431,603385.002,0.306,56%,123578415.1,0.261771347,3600,0,1969558248,4802704.967,0,0,100,25,65%,
-31.1637,121.0857,AUS.WA.335026,22555,6000,17000,8000,1704,2552877333,1203398013,410107162.3,939372158.1,-27804.35366,614819.0775,0.312,55%,123010503,0.260568361,4450,1.14E-10,1969558248,5102591.514,0,5.77E-18,100,25,63%,
-23.432,117.9,AUS.WA.335066,25865,9000,17000,5000,2577,2803752110,1465402519,438884908.4,899464683.2,-38732.13846,588699.6351,0.299,57%,121359493.4,0.257071091,2500,0,1969558248,3125756.31,0,0,100,25,68%,
-32.7509,116.3581,AUS.WA.335111,17040,31000,17000,6000,2720,3363222329,850615362,2041420576,471186390.7,-37283.93469,308391.4927,0.157,78%,93109118.36,0.197229422,7450,6.82E-11,1969558248,10376245.12,0,3.46E-18,100,25,86%,
-21.117,116.8296,AUS.WA.333387,18441,28000,17000,5000,1007,2978467647,1087108474,1293654749,597704423.4,-14794.03941,391197.5451,0.199,72%,103525327.5,0.219293672,5350,9.09E-11,1969558248,3537632.06,0,4.62E-18,100,25,80%,
-20.7571,117.7045,AUS.WA.333525,19058,29000,17000,5000,1006,3048222772,1141539391,1312402115,594281265.9,-15222.21981,388957.0885,0.197,72%,104147617.9,0.220611845,5200,2.27E-11,1969558248,3597937.286,0,1.15E-18,100,25,81%,
-17.3472,128.0235,AUS.WA.333595,23377,9000,17000,5000,2467,2597155493,1276677023,376296852.3,944181618.2,-39859.25939,617966.8691,0.314,55%,124594482,0.263923642,3250,0,1969558248,4831309.786,0,0,100,25,64%,
-25.5443,119.348,AUS.WA.568323,20952,7000,17000,9000,1876,2543875826,1205780756,438932815.4,899162254.9,-29810.45688,588501.6958,0.299,57%,119504050.7,0.253140779,3575,0,1969558248,4832261.291,0,0,100,25,65%,
-24.237,115.9535,AUS.WA.652958,17661,30000,17000,5000,1719,3161757860,1045557022,1534259718,581941119.8,-26158.84265,380880.4629,0.193,72%,103281264.3,0.218776682,5625,6.82E-11,1969558248,5838529.278,0,3.46E-18,100,25,82%,
-27.5191,120.588,AUS.WA.652960,20675,9000,17000,5000,2438,2593375404,1175351194,583355641.8,834668567.3,-37461.24435,546290.5773,0.277,60%,114294741.3,0.242106102,4900,0,1969558248,6420685.32,0,0,100,25,68%,
-33.5265,149.1588,AUS.NSW.333484,29313,8000,17000,5000,3011,2569681076,1344730187,76058311.06,1148892577,-47896.62574,751950.1919,0.382,46%,144780346.2,0.306682572,3250,9.09E-11,1969558248,5080821.626,0,4.62E-18,100,25,55%,
-31.1629,145.6538,AUS.NSW.333485,17041,33000,17000,5000,8532,3118337998,894307501.5,1652801128,571229368.2,-59456.89518,373869.6215,0.190,73%,105448244.4,0.223366912,8075,2.27E-11,1969558248,13039564.97,0,1.15E-18,100,25,82%,
-31.5001,145.8422,AUS.NSW.334161,16510,31000,17000,5000,7285,3030735566,860467420.5,1586745893,583522252.5,-57924.25062,381915.3143,0.194,72%,105038959.8,0.22249994,7975,0,1969558248,13299441.79,0,0,100,25,81%,
