UID,DEPOSIT_LATITUDE_WGS84,DEPOSIT_LONGITUDE_WGS84,Architecture/PV (kW),Architecture/Wind 1MW,Architecture/Gen (kW),Architecture/Battery 1MWh (#),Architecture/Converter (kW),Cost/NPC ($),Cost/LCOE ($/kWh),Cost/Operating cost ($/yr),Cost/CAPEX ($),System/Ren Frac (%),Total Load Served (kWh),Ren Frac (%),System/Total Fuel (L/yr),Project Economics/IRR (%),Project Economics/Simple Payback (yr),Gen/Hours,Gen/Production (kWh/yr),Gen/Fuel (L/yr),Annual Carbon Emission (tonne/yr),Total Carbon Emission (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),Gen/O&M Cost ($/yr),Gen/Fuel Cost ($/yr),PV/CAPEX,PV/Energy Production (kWh/yr),Wind 1MW/Capital Cost ($),Wind 1MW/Production (kWh/yr),Wind 1MW/O&M Cost ($),Battery 1MWh/Auxiliary Load Percent (%),Battery 1MWh/Autonomy (hr),Battery 1MWh/Annual Throughput (kWh/yr),Battery 1MWh/Nominal Capacity (kWh),Battery 1MWh/Accessible Capacity (kWh),Converter/Rectifier Mean Output (kW),Converter/Inverter Mean Output (kW),Specific Carbon Emission_DG (kg/kWh)
AUS.NT.335011.csv,-12.9681,131.1124,25345.40787,18,19000,84,14728.77662,343751200,0.3375206,13563450,168409500,75.25707,1969558248,75.26%,5390300,13.56295,6.594115,2836,19493060,5390300,14111.8054,352795.135,0.179,74%,1616520,6468360,50690820,44354650,45000000,35428010,720000,0,7.472134,20047250,84000.02,67200.02,352.4363,3695.401,
AUS.NT.335952.csv,-19.5535,134.0588,16063.66378,21,19000,67,13969.86683,263508300,0.2587321,9150251,145218300,84.96475,1969558248,84.96%,3305471,19.64522,4.950125,1831,11845120,3305471,8653.723078,216343.077,0.11,84%,1043670,3966566,32127330,30250220,52500000,77665190,840000,0,5.959916,15482050,67000.02,53600.01,817.2232,2430.304,
AUS.NT.336105.csv,-12.9939,130.9975,25319.51565,17,19000,92,14705.46784,339185500,0.3330376,12975020,171450700,77.39157,1969558248,77.39%,4928264,13.69666,6.553723,2602,17811450,4928264,12902.19515,322554.8788,0.164,77%,1483140,5913917,50639030,46849660,42500000,33048890,680000,0,8.183765,21956650,92000.02,73600.02,325.5076,4019.114,
AUS.NT.336129.csv,-19.6671,134.22,16556.37177,20,19000,74,13763.90219,263563500,0.2587863,8897420,148541900,85.84831,1969558248,85.85%,3114177,19.40304,5.026945,1734,11149030,3114177,8152.915386,203822.8847,0.103,85%,988380,3737013,33112740,31205580,50000000,73966860,800000,0,6.582594,16494730,74000.02,59200.01,821.5175,2575.823,
AUS.NT.336208.csv,-22.6868,136.2415,15053.47377,21,19000,65,13692.7809,261293400,0.2565574,9249932,141714800,84.57909,1969558248,84.58%,3392777,20.06526,4.823341,1887,12148950,3392777,8882.290186,222057.2547,0.113,84%,1075590,4071332,30106950,28193140,52500000,78322140,840000,0,5.782008,15045890,65000.01,52000.01,828.4189,2350.343,
AUS.NT.463918.csv,-19.7162,134.2817,16176.13658,20,19000,74,14510.69339,263466000,0.2586906,8931373,148005500,85.71979,1969558248,85.72%,3140022,19.45985,5.015546,1741,11250280,3140022,8220.577596,205514.4399,0.104,85%,992370,3768026,32352270,30496260,50000000,73966860,800000,0,6.582594,16475760,74000.02,59200.01,835.0589,2565.923,
AUS.NT.597284.csv,-21.5127,134.1564,14744.51506,20,19000,72,14145.11534,257803100,0.2531304,8831594,143632600,85.76625,1969558248,85.77%,3131385,20.20134,4.82893,1741,11213680,3131385,8197.96593,204949.1483,0.104,85%,992370,3757662,29489030,27816090,50000000,76390470,800000,0,6.404686,15991810,72000.02,57600.01,880.3914,2443.093,
AUS.QLD.333400.csv,-20.7434,139.4783,16850.07024,21,19000,71,14107.84126,269890600,0.2649988,9302492,149632500,84.90242,1969558248,84.90%,3319846,18.99875,5.10883,1841,11894220,3319846,8691.356828,217283.9207,0.11,84%,1049370,3983815,33700140,30940070,52500000,74858380,840000,0,6.315732,16274420,71000.02,56800.01,827.8807,2548.721,
AUS.QLD.333486.csv,-23.6356,150.375,18951.2456,23,19000,77,13590.1053,290356600,0.2850938,9860909,162879500,84.20945,1969558248,84.21%,3470414,16.79558,5.575383,1919,12440160,3470414,9085.543852,227138.5963,0.115,84%,1093830,4164497,37902490,32056230,57500000,71595860,920000,0,6.849456,17512730,77000.02,61600.01,826.2269,2770.087,
AUS.QLD.333596.csv,-21.54,140.5017,16184.22219,21,19000,74,14762.45676,267796100,0.2629423,9065853,150597200,85.56458,1969558248,85.56%,3173893,18.99889,5.107336,1759,11372560,3173893,8309.251874,207731.2969,0.105,85%,1002630,3808671,32368440,29794450,52500000,75520830,840000,0,6.582594,16642280,74000.02,59200.01,872.7794,2566.206,
AUS.QLD.333688.csv,-20.5711,139.472,16800.98875,21,19000,71,14283.79241,269957400,0.2650644,9311170,149587100,84.87963,1969558248,84.88%,3324362,19.00093,5.108307,1842,11912180,3324362,8703.179716,217579.4929,0.11,84%,1049940,3989235,33601980,30812210,52500000,74858380,840000,0,6.315732,16284420,71000.02,56800.01,830.077,2546.82,
AUS.QLD.333779.csv,-19.6961,139.366,17555.16313,22,19000,71,14462.45049,280718400,0.2756303,9829372,153649100,83.76295,1969558248,83.76%,3564011,17.90938,5.295679,1957,12791920,3564011,9330.580798,233264.52,0.118,83%,1115490,4276814,35110330,32605190,55000000,72682500,880000,0,6.315732,16486370,71000.02,56800.01,779.6503,2644.317,
AUS.QLD.333785.csv,-22.0939,140.5736,15673.6825,22,19000,72,14974.70737,269613000,0.2647262,9195362,150739800,85.1875,1969558248,85.19%,3255979,18.87646,5.132947,1802,11669630,3255979,8524.153022,213103.8256,0.108,85%,1027140,3907175,31347370,27777890,55000000,78960570,880000,0,6.404686,16262100,72000.02,57600.01,931.6986,2469.305,
AUS.QLD.333873.csv,-20.7216,139.4782,16973.70851,21,19000,70,14391.28011,269933000,0.2650403,9334210,149264800,84.80924,1969558248,84.81%,3340792,18.92079,5.101366,1854,11967630,3340792,8746.193456,218654.8364,0.111,84%,1056780,4008950,33947420,31162930,52500000,74858380,840000,0,6.226778,16162640,70000.02,56000.01,816.1582,2538.938,
AUS.QLD.334081.csv,-18.5074,144.0999,18083.87628,21,19000,78,14504.12039,280147800,0.2750701,9516818,157119000,84.84766,1969558248,84.85%,3329747,17.81207,5.350819,1840,11937360,3329747,8717.277646,217931.9412,0.111,84%,1048800,3995697,36167750,32716960,52500000,69473420,840000,0,6.93841,17613330,78000.02,62400.01,795.0753,2790.149,
AUS.QLD.334094.csv,-20.8766,139.9862,16280.1471,21,19000,71,13678.78052,272672000,0.2677297,9615770,148363900,84.11278,1969558248,84.11%,3492845,18.91388,5.10995,1935,12516320,3492845,9144.26821,228606.7053,0.116,83%,1102950,4191414,32560290,29920620,52500000,73440980,840000,0,6.315732,16247760,71000.02,56800.01,827.65,2545.04,
AUS.QLD.334276.csv,-17.1187,144.4047,20351.67849,21,19000,79,14779.12787,295360000,0.2900065,10282170,162437100,83.39518,1969558248,83.40%,3645482,16.5116,5.598293,2004,13081660,3645482,9543.871876,238596.7969,0.121,83%,1142280,4374578,40703360,37163060,52500000,61598190,840000,0,7.027364,18490240,79000.02,63200.01,670.3645,3059.262,
AUS.QLD.334400.csv,-20.7759,140.0445,17009.51653,22,19000,71,14626.56685,273993900,0.2690277,9389805,152607000,84.77523,1969558248,84.78%,3343493,18.5125,5.20999,1841,11994430,3343493,8753.264674,218831.6169,0.111,84%,1049370,4012192,34019030,31933510,55000000,75703320,880000,0,6.315732,16356240,71000.02,56800.01,816.9374,2590.348,
AUS.QLD.334462.csv,-20.7216,139.4782,16973.70851,21,19000,70,14391.28011,269933000,0.2650403,9334210,149264800,84.80924,1969558248,84.81%,3340792,18.92079,5.101366,1854,11967630,3340792,8746.193456,218654.8364,0.111,84%,1056780,4008950,33947420,31162930,52500000,74858380,840000,0,6.226778,16162640,70000.02,56000.01,816.1582,2538.938,
AUS.QLD.334660.csv,-21.0446,139.9062,16411.0798,22,19000,70,13761.0946,268403500,0.2635386,9124180,150450500,85.31714,1969558248,85.32%,3229091,18.97461,5.116371,1792,11567500,3229091,8453.760238,211344.006,0.107,85%,1021440,3874910,32822160,29792350,55000000,79103220,880000,0,6.226778,16001850,70000.02,56000.01,865.7733,2475.002,
AUS.QLD.334842.csv,-20.1656,139.4582,17976.68843,20,19000,76,14710.09326,275704700,0.2707075,9486611,153066400,84.69318,1969558248,84.69%,3362647,18.39606,5.225624,1855,12059060,3362647,8803.409846,220085.2462,0.112,84%,1057350,4035176,35953380,32865850,50000000,68664160,800000,0,6.760502,17262150,76000.02,60800.01,777.9374,2736.062,
AUS.QLD.334950.csv,-18.609,143.993,17410.26778,21,19000,78,14641.89066,275634800,0.2706389,9268733,155813100,85.30993,1969558248,85.31%,3226808,18.11633,5.284647,1779,11573180,3226808,8447.783344,211194.5836,0.107,85%,1014030,3872170,34820540,32235020,52500000,71414870,840000,0,6.93841,17388390,78000.02,62400.01,816.0815,2745.544,
AUS.QLD.334977.csv,-20.7187,140.6487,19021.42801,20,19000,78,14497.20676,275655600,0.2706592,9217822,156492000,85.53591,1969558248,85.54%,3178944,18.10196,5.290251,1758,11395150,3178944,8322.475392,208061.8848,0.106,85%,1002060,3814733,38042860,35682990,50000000,68072580,800000,0,6.93841,17671280,78000.02,62400.01,728.0532,2837.329,
AUS.QLD.334994.csv,-20.4447,140.7058,18000.30072,20,19000,64,13695.79702,282844400,0.2777177,10708560,144409300,80.68816,1969558248,80.69%,4215348,18.57102,5.138206,2243,15214320,4215348,11035.78106,275894.5266,0.14,80%,1278510,5058418,36000600,33690890,50000000,65342390,800000,0,5.693054,15254870,64000.01,51200.01,638.3624,2520.851,
AUS.QLD.335006.csv,-20.2545,140.1558,18211.75313,21,19000,73,14684.03125,280448200,0.275365,9786834,153928700,83.93209,1969558248,83.93%,3526994,17.90653,5.293013,1937,12658670,3526994,9233.670292,230841.7573,0.117,83%,1104090,4232393,36423510,34048360,52500000,69220320,840000,0,6.49364,16894960,73000.02,58400.01,733.9144,2737.423,
AUS.QLD.335227.csv,-20.5636,139.9752,16969.68752,21,19000,70,13772.70701,272678900,0.2677365,9561596,149071200,84.26072,1969558248,84.26%,3460325,18.73521,5.123348,1917,12399770,3460325,9059.13085,226478.2713,0.115,84%,1092690,4152390,33939380,31112050,52500000,73440980,840000,0,6.226778,16199040,70000.02,56000.01,801.5499,2557.453,
AUS.QLD.335458.csv,-21.6784,140.4744,16649.61687,21,19000,72,14364.85768,268275400,0.2634128,9148449,150008700,85.33891,1969558248,85.34%,3224767,19.03944,5.099433,1791,11550360,3224767,8442.440006,211061.0002,0.107,85%,1020870,3869720,33299230,30684470,52500000,75233040,840000,0,6.404686,16446410,72000.02,57600.01,841.7617,2559.238,
