Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%),Specific Carbon Emission_DG (kg/kWh)
-32.0637,146.3085,AUS.NSW.335658,22734,9000,17000,5000,2322,2564586115,1161175434,491320619.5,912090061.9,-55288.85401,596962.9455,0.303,57%,122617518.7,0.259735918,9225,2.14E-09,1969558248,14092187.71,0,1.09E-16,100,25,64%,
-33.4574,148.9957,AUS.NSW.335835,28855,9000,17000,5000,2861,2604283150,1318077463,224427864.1,1061777823,-69153.68272,694933.585,0.353,50%,138682265.9,0.293765246,8400,1.92E-09,1969558248,15435956.35,0,9.76E-17,100,25,59%,
-25.5406,119.3281,AUS.WA.519582,21875,7000,17000,9000,1826,2590177894,1252837551,438932815.4,898407526.9,-35935.94383,588007.7264,0.299,57%,119831428.2,0.25383425,8725,2.19E-09,1969558248,10336939.51,0,1.11E-16,100,25,65%,
-20.7886,122.1966,AUS.WA.557598,20347,7000,17000,8000,2147,2488836501,1177530902,404002198.5,907303400.9,-45136.71064,593830.0759,0.302,57%,119572005.6,0.253284726,7725,1.91E-09,1969558248,11122017.46,0,9.70E-17,100,25,64%,
-31.8199,123.1924,AUS.WA.561110,22974,6000,17000,10000,1864,2559943188,1196915912,418900034.8,944127240.9,-35305.64904,617931.2792,0.314,55%,124567202,0.263865856,8250,1.68E-09,1969558248,10342575.05,0,8.54E-17,100,25,63%,
-18.5074,144.0999,AUS.QLD.334081,22797,9000,17000,5000,2095,2621043221,1253047072,466789454.3,901206695,-52819.49749,589839.7818,0.299,57%,121204378.2,0.256742517,8700,2.34E-09,1969558248,13098262.83,0,1.19E-16,100,25,66%,
-20.8766,139.9862,AUS.QLD.334094,21059,8000,17000,5000,2399,2583562376,1208122891,456150915.2,919288569.6,-58586.28296,601674.3688,0.305,56%,120257394.1,0.254736557,9325,1.98E-09,1969558248,16068943.75,0,1.00E-16,100,25,64%,
-17.1187,144.4047,AUS.QLD.334276,23891,9000,17000,5000,2720,2646736088,1297401678,401822687.2,947511723.7,-66351.58705,620146.4231,0.315,55%,125324048.9,0.265469055,8125,1.74E-09,1969558248,16381910.41,0,8.83E-17,100,25,64%,
-20.7759,140.0445,AUS.QLD.334400,20679,8000,17000,5000,2348,2563850783,1188272282,456150915.2,919427585.6,-56886.82381,601765.3548,0.306,56%,120172133.2,0.254555952,9325,1.93E-09,1969558248,15873010.53,0,9.81E-17,100,25,64%,
-20.7216,139.4782,AUS.QLD.334462,23508,9000,17000,5000,2405,2727723255,1333824732,506984286.9,886914236.9,-58742.84794,580485.368,0.295,58%,119553629.5,0.2532458,9025,2.09E-09,1969558248,16039538.39,0,1.06E-16,100,25,67%,
-21.0446,139.9062,AUS.QLD.334660,21470,8000,17000,5000,2416,2598169542,1221311020,456150915.2,920707606.9,-58945.99181,602603.1287,0.306,56%,120639152.6,0.255545222,9575,2.11E-09,1969558248,16321035.3,0,1.07E-16,100,25,65%,
-33.5265,149.1588,AUS.NSW.333484,29313,8000,17000,5000,3011,2569681076,1344730187,76058311.06,1148892577,-77183.97424,751950.1919,0.382,46%,144780346.2,0.306682572,8400,1.25E-09,1969558248,17125867.86,0,6.35E-17,100,25,55%,
-31.1629,145.6538,AUS.NSW.333485,17041,33000,17000,5000,8532,3118337998,894307501.5,1652801128,571229368.2,-81181.77386,373869.6215,0.190,73%,105448244.4,0.223366912,4875,8.19E-10,1969558248,11900217.59,0,4.16E-17,100,25,82%,
-31.5001,145.8422,AUS.NSW.334161,16510,31000,17000,5000,7285,3030735566,860467420.5,1586745893,583522252.5,-81479.56509,381915.3143,0.194,72%,105038959.8,0.22249994,5025,1.18E-09,1969558248,11793235.15,0,6.00E-17,100,25,81%,
