Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),Specific Carbon Emission (kg/kWh),Specific Carbon Emission Reduction (%),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%),Specific Carbon Emission_DG (kg/kWh)
-17.295,128.1877,AUS.WA.335365,22762,6000,17000,10000,1791,2523875614,1262504496,252568524.3,1008802593,0,660261.2974,0.335,52%,128484137.4,0.272162948,2550,3.17E-09,1969558248,0,0,1.61E-16,100,25,60%,
-20.9825,116.8648,AUS.WA.335472,18558,28000,17000,5000,1000,2985708089,1095472681,1293654749,596580658.7,0,390462.0411,0.198,72%,103410844.1,0.219051166,875,1.23E-09,1969558248,0,0,6.23E-17,100,25,80%,
-27.4555,120.5775,AUS.WA.335559,21616,7000,17000,9000,2158,2581959298,1228586341,454917465.1,898455491.4,0,588039.1191,0.299,57%,119843586,0.253860004,2475,3.26E-09,1969558248,0,0,1.66E-16,100,25,65%,
-35.0613,149.5717,AUS.NSW.335841,27244,6000,17000,10000,1845,2542816553,1227695965,293305136.1,1021815451,0,668778.2129,0.34,52%,134372531.5,0.284636104,1575,2.21E-09,1969558248,0,0,1.12E-16,100,25,60%,
-29.5,152.4897,AUS.NSW.335959,25130,9000,17000,8000,1434,2302946099,1036497244,24500635.46,1241948220,0,812855.1099,0.413,41%,153654091.9,0.325479483,975,1.30E-09,1969558248,0,0,6.58E-17,100,25,46%,
-34.1848,147.3854,AUS.NSW.455899,20194,30000,17000,5000,2776,2951923769,981116201.4,1286278816,684528751.5,0,448024.0678,0.227,68%,115527385.4,0.244717164,1450,1.93E-09,1969558248,0,0,9.81E-17,100,25,77%,
-31.2166,121.68,AUS.WA.335722,23123,6000,17000,9000,1725,2603562605,1260428931,411791973.9,931341700.8,0,609563.1432,0.309,56%,122485387.1,0.259456028,2025,2.52E-09,1969558248,0,0,1.28E-16,100,25,64%,
-26.9204,120.379,AUS.WA.335749,16508,34000,17000,5000,7049,3338988654,940303406.8,1944182048,454503198.9,0,297472.3437,0.151,78%,93683627.86,0.198446383,925,1.16E-09,1969558248,0,0,5.89E-17,100,25,86%,
-28.7452,116.9436,AUS.WA.335838,22732,6000,17000,9000,1865,2623337216,1308245853,395449144.5,919642219,0,601905.8323,0.306,56%,121168721.9,0.256666988,2150,2.82E-09,1969558248,0,0,1.43E-16,100,25,65%,
-21.7224,122.2109,AUS.WA.335840,18323,32000,17000,5000,1043,3190913940,1047559782,1624582480,518771678.2,0,339536.0634,0.172,75%,98838272.7,0.209365266,1125,1.51E-09,1969558248,0,0,7.68E-17,100,25,84%,
-17.7501,127.8329,AUS.WA.335844,20289,31000,17000,5000,1002,3015469043,1124452525,1279024704,611991814.9,0,400548.6428,0.203,71%,109343518.6,0.23161812,1050,1.23E-09,1969558248,0,0,6.23E-17,100,25,80%,
-26.9179,118.6444,AUS.WA.336035,21401,6000,17000,9000,1800,2555363389,1238618969,400584874.5,916159545.4,0,599626.4224,0.304,57%,120161767.6,0.254533996,2300,2.86E-09,1969558248,0,0,1.45E-16,100,25,64%,
-17.1813,137.7848,AUS.NT.333325,21024,30000,17000,5000,1040,2958374137,1149318084,1203683829,605372223.5,0,396216.1203,0.201,71%,107715307.2,0.228169143,1150,1.48E-09,1969558248,0,0,7.50E-17,100,25,80%,
-19.6271,134.15,AUS.NT.333391,18503,33000,17000,5000,1345,3390661695,1067799710,1868994679,453867305.6,0,297056.1515,0.151,78%,93087791.73,0.197184246,900,1.23E-09,1969558248,0,0,6.23E-17,100,25,87%,
-16.436,136.0985,AUS.NT.333587,22241,6000,17000,10000,1777,2469759512,1211753639,252793290.3,1005212583,0,657911.6358,0.334,52%,128764375.4,0.272756565,1850,2.21E-09,1969558248,0,0,1.12E-16,100,25,59%,
-17.1727,137.752,AUS.NT.333631,20824,29000,17000,5000,1552,2914699279,1134717733,1164877735,615103811.6,0,402585.4447,0.204,71%,107777980.7,0.228301902,1175,1.46E-09,1969558248,0,0,7.39E-17,100,25,79%,
-19.4448,133.8237,AUS.NT.333784,18285,32000,17000,5000,5671,3343100494,1043563324,1842365671,457171499.4,0,299218.7463,0.152,78%,92536644.25,0.196016772,675,8.87E-10,1969558248,0,0,4.50E-17,100,25,86%,
-19.6751,134.2835,AUS.NT.334073,20752,6000,17000,9000,1787,2501145305,1194658499,381828217.5,924658588.6,0,605189.0462,0.307,56%,120655162.6,0.255579135,2625,3.21E-09,1969558248,0,0,1.63E-16,100,25,63%,
-29.72,135.5749,AUS.SA.333675,17883,31000,17000,5000,7098,3333215666,989659885.2,1815379185,528176595.9,0,345691.582,0.176,75%,98683506.3,0.209037431,800,1.09E-09,1969558248,0,0,5.54E-17,100,25,84%,
-31.1051,137.1544,AUS.SA.335512,23013,6000,17000,9000,1669,2586907175,1263441604,370730833.2,952734737.1,0,623564.8854,0.317,55%,124067605.8,0.262807581,1625,1.96E-09,1969558248,0,0,9.93E-17,100,25,63%,
-30.4374,136.8893,AUS.SA.335647,22527,6000,17000,9000,1696,2561508603,1241949862,359224935.7,960333805.3,0,628538.4755,0.319,54%,124371287.2,0.263450857,2125,2.61E-09,1969558248,0,0,1.33E-16,100,25,63%,
-18.5074,144.0999,AUS.QLD.334081,18080,29000,17000,5000,5857,2996911567,993776224.9,1377481374,625653967.4,0,409490.5217,0.208,70%,106998696.6,0.226651175,1225,1.54E-09,1969558248,0,0,7.82E-17,100,25,79%,
-20.8766,139.9862,AUS.QLD.334094,21105,6000,17000,8000,1725,2528214122,1210761796,343672102.8,973780223.9,0,637339.1566,0.324,54%,123999468.7,0.262663248,2650,3.29E-09,1969558248,0,0,1.67E-16,100,25,61%,
-17.1187,144.4047,AUS.QLD.334276,24269,6000,17000,9000,1784,2603157269,1317928905,270832585.4,1014395779,0,663922.0371,0.337,52%,129636920.5,0.274604843,2450,3.16E-09,1969558248,0,0,1.60E-16,100,25,61%,
-21.117,116.8296,AUS.WA.333387,18441,28000,17000,5000,1007,2978467647,1087108474,1293654749,597704423.4,0,391197.5451,0.199,72%,103525327.5,0.219293672,850,1.18E-09,1969558248,0,0,6.00E-17,100,25,80%,
-20.7571,117.7045,AUS.WA.333525,19058,29000,17000,5000,1006,3048222772,1141539391,1312402115,594281265.9,0,388957.0885,0.197,72%,104147617.9,0.220611845,1075,1.32E-09,1969558248,0,0,6.70E-17,100,25,81%,
-17.3472,128.0235,AUS.WA.333595,22024,6000,17000,10000,1958,2474781985,1202786637,252568524.3,1019426823,0,667214.8556,0.339,52%,129404934.8,0.274113437,2475,2.99E-09,1969558248,0,0,1.52E-16,100,25,59%,
-20.1656,139.4582,AUS.QLD.334842,17118,32000,17000,5000,7180,3152880901,977802054.8,1602516413,572562433.2,0,374742.1126,0.19,73%,103669278.6,0.219598598,1025,1.28E-09,1969558248,0,0,6.52E-17,100,25,82%,
-18.609,143.993,AUS.QLD.334950,22938,6000,17000,9000,1840,2579280277,1275410531,315501145,988368600.4,0,646887.249,0.328,53%,126828204.8,0.26865525,1675,2.17E-09,1969558248,0,0,1.10E-16,100,25,62%,
-20.7187,140.6487,AUS.QLD.334977,22587,6000,17000,9000,1778,2606287632,1293917288,339794379.7,972575964.1,0,636550.9685,0.323,54%,124580712.6,0.263894475,2825,3.37E-09,1969558248,0,0,1.71E-16,100,25,63%,
-25.5443,119.348,AUS.WA.568323,20952,7000,17000,9000,1876,2543875826,1205780756,438932815.4,899162254.9,0,588501.6958,0.299,57%,119504050.7,0.253140779,2650,3.33E-09,1969558248,0,0,1.69E-16,100,25,65%,
-24.237,115.9535,AUS.WA.652958,17661,30000,17000,5000,1719,3161757860,1045557022,1534259718,581941119.8,0,380880.4629,0.193,72%,103281264.3,0.218776682,1075,1.24E-09,1969558248,0,0,6.29E-17,100,25,82%,
-27.5191,120.588,AUS.WA.652960,16765,33000,17000,5000,5895,3355132936,953072932.3,1946292734,455767269.4,0,298299.6778,0.151,78%,93054851.59,0.19711447,750,1.05E-09,1969558248,0,0,5.31E-17,100,25,86%,
-23.6356,150.375,AUS.QLD.333486,18434,34000,17000,5000,6606,2997896011,957074817.6,1499712528,541108665.5,0,354155.6216,0.18,74%,103956377.2,0.220206748,775,9.55E-10,1969558248,0,0,4.85E-17,100,25,82%,
-21.54,140.5017,AUS.QLD.333596,21291,6000,17000,9000,1827,2545493789,1224793868,353953104.5,966746816.5,0,632735.7914,0.321,54%,123688424.4,0.262004375,2400,3.00E-09,1969558248,0,0,1.52E-16,100,25,62%,
-20.5711,139.472,AUS.QLD.333688,17053,31000,17000,5000,1058,3151690676,978745370.3,1601748220,571197085.9,0,373848.4927,0.19,73%,102690675.3,0.217525661,1025,1.32E-09,1969558248,0,0,6.70E-17,100,25,82%,
-41.7824,145.434,AUS.TAS.336113,26488,33000,17000,5000,1000,2790549828,798848559.4,1263699696,728001572.7,0,476477.0293,0.242,65%,127435535.8,0.269941736,1400,1.81E-09,1969558248,0,0,9.18E-17,100,25,74%,
-37.6078,142.6124,AUS.VIC.467811,24445,31000,17000,5000,3602,2727628115,985851382,998224571.5,743552161.9,0,486654.8899,0.247,65%,125767648.6,0.266408715,1725,2.02E-09,1969558248,0,0,1.03E-16,100,25,73%,
-20.9168,116.8861,AUS.WA.333298,18845,28000,17000,5000,1004,3003817917,1116863189,1293654749,593299978.8,0,388314.8362,0.197,72%,103136169.2,0.218469333,850,1.21E-09,1969558248,0,0,6.12E-17,100,25,80%,
-12.9939,130.9975,AUS.NT.336105,25998,5000,17000,11000,1802,2545987466,1315969640,147833082.3,1082184744,0,708289.9148,0.36,49%,135877660.1,0.287824359,1900,2.33E-09,1969558248,0,0,1.18E-16,100,25,57%,
-19.6671,134.22,AUS.NT.336129,17716,33000,17000,5000,5929,3345909093,1019039450,1868994679,457874964.8,0,299679.1644,0.152,78%,93287026.32,0.197606277,850,1.11E-09,1969558248,0,0,5.66E-17,100,25,86%,
-22.6868,136.2415,AUS.NT.336208,15913,33000,17000,5000,1000,3285334553,918183341.4,1866190619,500960592.7,0,327878.7079,0.166,76%,97735436.38,0.207029171,1125,1.41E-09,1969558248,0,0,7.16E-17,100,25,85%,
-21.545,140.497,AUS.QLD.335859,16651,34000,17000,5000,6796,3290693026,958300194.1,1802026808,530366023.9,0,347124.5626,0.176,75%,101151343.4,0.214264954,975,1.43E-09,1969558248,0,0,7.27E-17,100,25,84%,
-19.474,139.3889,AUS.QLD.335937,17956,30000,17000,5000,1066,3102335648,1017837207,1488384841,596113599.6,0,390156.3509,0.198,72%,104833661.4,0.222065065,1025,1.32E-09,1969558248,0,0,6.70E-17,100,25,81%,
-21.2785,140.5052,AUS.QLD.335949,21227,6000,17000,9000,1783,2548540101,1231364883,353953104.5,963222112.9,0,630428.8729,0.32,54%,123142389.7,0.260847731,2275,2.73E-09,1969558248,0,0,1.39E-16,100,25,62%,
-22.6513,136.268,AUS.NT.334762,15191,34000,17000,6000,1195,3288858649,879981270.3,1911952583,496924796.2,0,325237.2791,0.165,76%,97931106.76,0.207443652,925,1.11E-09,1969558248,0,0,5.66E-17,100,25,85%,
-13.4996,131.713,AUS.NT.334824,23970,6000,17000,11000,1724,2511431363,1257481148,210018620.7,1043931594,0,683253.228,0.347,51%,132736702.7,0.281170991,1700,2.14E-09,1969558248,0,0,1.09E-16,100,25,58%,
-19.4387,134.0281,AUS.NT.334931,17750,32000,17000,5000,6735,3316907586,1018105649,1842365671,456436265.9,0,298737.5361,0.152,78%,92130730.77,0.195156941,800,1.05E-09,1969558248,0,0,5.31E-17,100,25,86%,
-19.7162,134.2817,AUS.NT.463918,18502,33000,17000,5000,1028,3389790907,1067819908,1868994679,452976319.9,0,296473.0014,0.151,79%,92932860.5,0.196856061,825,1.07E-09,1969558248,0,0,5.43E-17,100,25,87%,
-21.5127,134.1564,AUS.NT.597284,16134,32000,17000,5000,1447,3310417720,926578114.6,1909939633,473899972.9,0,310167.5323,0.157,78%,93708543.46,0.19849916,1000,1.27E-09,1969558248,0,0,6.46E-17,100,25,86%,
-20.7434,139.4783,AUS.QLD.333400,21174,6000,17000,9000,1810,2524030127,1210935376,339835232,973259518.5,0,636998.3549,0.323,54%,124254928.5,0.263204379,2450,3.18E-09,1969558248,0,0,1.62E-16,100,25,61%,
-41.603,145.6999,AUS.TAS.333591,32756,15000,17000,6000,1319,2473571828,1069027266,360395194.3,1044149367,0,683395.7607,0.347,51%,148065779.3,0.313641977,2450,2.90E-09,1969558248,0,0,1.47E-16,100,25,58%,
-41.477,145.385,AUS.TAS.333707,31287,28000,17000,5000,1000,2543060564,1002812006,630540399.4,909708158.8,0,595403.9899,0.302,57%,144991935.3,0.307130773,1625,2.09E-09,1969558248,0,0,1.06E-16,100,25,64%,
-41.7723,145.5431,AUS.TAS.333876,50000,27000,17000,6000,1000,3288883396,1516460148,1059427069,712996178.5,0,466655.9988,0.237,66%,133078192.6,0.281894356,1450,1.74E-09,1969558248,0,0,8.83E-17,100,25,78%,
-31.9665,141.465,AUS.NSW.335554,22926,6000,17000,9000,1815,2561623582,1237095762,370300597.9,954227222,0,624541.7168,0.317,55%,124586076.3,0.263905836,2275,2.90E-09,1969558248,0,0,1.47E-16,100,25,63%,
-32.0637,146.3085,AUS.NSW.335658,16530,34000,17000,5000,7019,3097665743,844297575.3,1680933383,572434784.3,0,374658.5663,0.19,73%,106175676.5,0.224907803,1200,1.80E-09,1969558248,0,0,9.12E-17,100,25,82%,
-33.4574,148.9957,AUS.NSW.335835,24838,24000,17000,5000,1755,2599589445,1134584262,561956762.5,903048421.2,0,591045.1917,0.3,57%,134892275.2,0.285737057,2225,2.68E-09,1969558248,0,0,1.36E-16,100,25,65%,
-20.8684,116.8655,AUS.WA.335166,18082,28000,17000,5000,1006,2963021191,1074432074,1293654749,594934367.6,0,389384.5436,0.198,72%,103029303,0.218242963,925,1.32E-09,1969558248,0,0,6.70E-17,100,25,80%,
-21.2035,119.2383,AUS.WA.335341,19662,26000,17000,5000,1000,3060740791,1147527978,1296783160,616429654.1,0,403453.2086,0.205,71%,103587943.4,0.219426309,1000,1.25E-09,1969558248,0,0,6.35E-17,100,25,80%,
-27.3105,120.5528,AUS.WA.335342,16497,33000,17000,5000,1009,3341458113,938639930.1,1946292734,456525448.6,0,298795.9061,0.152,78%,93029353.36,0.197060458,900,1.23E-09,1969558248,0,0,6.23E-17,100,25,86%,
-21.6784,140.4744,AUS.QLD.335458,16850,34000,17000,5000,5952,3299311226,968911934.9,1802026808,528372483,0,345819.7901,0.176,75%,100999184.7,0.213942642,1075,1.59E-09,1969558248,0,0,8.08E-17,100,25,84%,
-20.625,140.6885,AUS.QLD.335574,22554,6000,17000,9000,1818,2608965960,1300246722,339794379.7,968924857.6,0,634161.3193,0.322,54%,124081017.2,0.262835989,2750,3.37E-09,1969558248,0,0,1.71E-16,100,25,63%,
-20.7406,139.9112,AUS.QLD.335769,17042,31000,17000,5000,4856,3158215076,975507640.9,1603187603,579519831.8,0,379295.7299,0.193,73%,103747730.2,0.219764779,925,1.14E-09,1969558248,0,0,5.77E-17,100,25,82%,
-21.6549,121.5709,AUS.WA.335579,18462,31000,17000,5000,1000,3180313183,1055741205,1592819833,531752144.7,0,348031.7787,0.177,75%,99110934.76,0.209942836,1125,1.36E-09,1969558248,0,0,6.93E-17,100,25,83%,
-22.1991,122.3141,AUS.WA.335631,19065,32000,17000,5000,1024,3190790383,1092849571,1573757009,524183803.8,0,343078.2996,0.174,75%,99821158.55,0.211447275,775,1.02E-09,1969558248,0,0,5.19E-17,100,25,84%,
-29.1785,116.9774,AUS.WA.335652,16609,30000,17000,6000,3424,3260575728,941091626.3,1813930081,505554021,0,330885.1067,0.168,76%,95715507.43,0.202750434,950,1.27E-09,1969558248,0,0,6.46E-17,100,25,84%,
-28.4868,122.2385,AUS.WA.334147,16567,34000,17000,5000,5876,3487023669,927422719.3,2141045639,418555311,0,273944.4511,0.139,80%,89775678.29,0.190168325,700,9.09E-10,1969558248,0,0,4.62E-17,100,25,88%,
-28.409,121.1478,AUS.WA.334181,22394,7000,17000,9000,1905,2629623335,1267953359,477795177,883874798.1,0,578496.0553,0.294,58%,119111479.9,0.252309212,3025,3.74E-09,1969558248,0,0,1.90E-16,100,25,66%,
-30.9106,121.7167,AUS.WA.334445,22396,6000,17000,8000,1602,2558824898,1208657669,411791973.9,938375255,0,614166.6044,0.312,56%,122678873.5,0.259865883,1925,2.41E-09,1969558248,0,0,1.22E-16,100,25,63%,
-31.1785,121.6775,AUS.WA.334537,15715,33000,17000,5000,1846,3369263434,842705219.7,2064780329,461777885.1,0,302233.6258,0.153,78%,93630473.79,0.198333788,825,1.00E-09,1969558248,0,0,5.08E-17,100,25,86%,
-21.147,119.2055,AUS.WA.334568,19471,25000,17000,5000,1000,3012366407,1135954955,1251386743,625024709.2,0,409078.6722,0.208,70%,103599552.4,0.2194509,1200,1.43E-09,1969558248,0,0,7.27E-17,100,25,79%,
-24.6431,118.5873,AUS.WA.334629,22668,6000,17000,9000,1838,2600154902,1306453038,354245468.1,939456395.4,0,614874.2108,0.312,55%,122358988,0.259188282,2350,2.96E-09,1969558248,0,0,1.50E-16,100,25,64%,
-19.6961,139.366,AUS.QLD.333779,22604,6000,17000,9000,1819,2564534297,1262186412,325987821.1,976360063.8,0,639027.6617,0.324,54%,125584573.5,0.266020914,2500,3.02E-09,1969558248,0,0,1.54E-16,100,25,62%,
-22.0939,140.5736,AUS.QLD.333785,15625,33000,17000,5000,1017,3193979025,908132530.4,1737842602,548003893.4,0,358668.5482,0.182,74%,102046755.6,0.216161671,750,9.66E-10,1969558248,0,0,4.91E-17,100,25,83%,
-20.7216,139.4782,AUS.QLD.333873,16550,31000,17000,5000,5315,3116902914,939034957.7,1601748220,576119736.2,0,377070.3674,0.191,73%,103012091.7,0.218206505,1025,1.32E-09,1969558248,0,0,6.70E-17,100,25,82%,
-28.6691,116.3796,AUS.WA.336142,23027,6000,17000,9000,1835,2628485173,1308816524,396708357.1,922960292.6,0,604077.5115,0.307,56%,121534152.1,0.257441064,2075,2.68E-09,1969558248,0,0,1.36E-16,100,25,65%,
-28.9634,121.766,AUS.WA.336197,15922,34000,17000,5000,3864,3455190799,883763548.2,2130936248,440491003.1,0,288301.3615,0.146,79%,91721299.71,0.194289659,825,9.89E-10,1969558248,0,0,5.02E-17,100,25,87%,
-27.2296,120.5417,AUS.WA.336234,16588,33000,17000,5000,1739,3292190718,936746728.9,1894927006,460516982.4,0,301408.365,0.153,78%,93629969.45,0.19833272,1075,1.30E-09,1969558248,0,0,6.58E-17,100,25,86%,
-31.1778,121.6783,AUS.WA.652961,15715,33000,17000,5000,1846,3369263434,842705219.7,2064780329,461777885.1,0,302233.6258,0.153,78%,93630473.79,0.198333788,825,1.00E-09,1969558248,0,0,5.08E-17,100,25,86%,
-28.302,120.492,AUS.WA.652962,16661,34000,17000,5000,1014,3447889353,945494802.8,2050045587,452348963.6,0,296062.3967,0.15,79%,93301555.51,0.197637054,725,8.19E-10,1969558248,0,0,4.16E-17,100,25,87%,
-31.2864,122.838,AUS.WA.652969,17102,33000,17000,5000,1056,3513763622,910952669,2135734678,467076275.2,0,305701.4221,0.155,78%,94372381.37,0.199905342,1075,1.47E-09,1969558248,0,0,7.45E-17,100,25,87%,
-31.5161,145.8551,AUS.NSW.334374,18583,33000,17000,5000,6022,3191168853,959132469.2,1670155394,561880989.6,0,367751.1077,0.187,73%,104904402.3,0.222214912,1075,1.48E-09,1969558248,0,0,7.50E-17,100,25,82%,
-31.5212,145.8578,AUS.NSW.334832,18583,33000,17000,5000,6022,3191168853,959132469.2,1670155394,561880989.6,0,367751.1077,0.187,73%,104904402.3,0.222214912,1075,1.48E-09,1969558248,0,0,7.50E-17,100,25,82%,
