Method,Deposit UID,Latitude,Longitude,Iterations,Duration (seconds),LCOE,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Load Reduction Percentage,Total Charging Prevented (kWh),Demand Not Served (kWh),Demand Met Percentage,Project Lifetime (years)
Differential Evolution,AUS.NSW.333485,-31.1629,145.6538,0,11627.595201969147,0.23056319692168314,17042.0,33000,17000.0,15004.0,7532.0,3118386874.4598894,894359981.2763705,1652801128.4002335,571225764.7832849,-81864.5147011364,108845505.01626486,0.23056319692168314,12025,6.821210263296962e-11,1969558247.65,3.4633198949235254e-18,32198550.13041934,0.0,100.0,25
Differential Evolution,AUS.NSW.333485,-31.1629,145.6538,0,11627.595201969147,0.23056319692168314,17042.0,33000,17000.0,15004.0,7532.0,3118386874.4598894,894359981.2763705,1652801128.4002335,571225764.7832849,-81864.5147011364,108845505.01626486,0.23056319692168314,12025,6.821210263296962e-11,1969558247.65,3.4633198949235254e-18,32198550.13041934,0.0,100.0,25
