Method,Deposit UID,Latitude,Longitude,Iterations,Duration (seconds),LCOE,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Load Reduction Percentage,Total Charging Prevented (kWh),Demand Not Served (kWh),Demand Met Percentage,Project Lifetime (years),LCOE ($/kWh)
SHGO,AUS.NSW.333485,-31.1629,145.6538,0,5512.92152762413,0.23618537753639474,15161.0,39000,18028.0,15776.0,6147.0,3229387900.969733,795646068.1920636,1890855386.2183301,542886446.5593396,-75147.04880257876,111499654.0585719,0.23618537753639474,11900,1.8189894035458565e-10,1969558247.65,9.23551971979607e-18,27804439.261342578,0.0,100.0,25,
SHGO,AUS.NSW.333485,-31.1629,145.6538,0,5512.92152762413,,15161.0,39000,18028.0,15776.0,6147.0,3229387900.969733,795646068.1920636,1890855386.2183301,542886446.5593396,-75147.04880257876,111499654.0585719,0.23618537753639474,11900,1.8189894035458565e-10,1969558247.65,9.23551971979607e-18,27804439.261342578,0.0,100.0,25,0.23618537753639474
