Method,Deposit UID,Latitude,Longitude,Iterations,Duration (seconds),LCOE,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Load Reduction Percentage,Total Charging Prevented (kWh),Demand Not Served (kWh),Demand Met Percentage,Project Lifetime (years)
Nelder-Mead,AUS.NSW.333485,-31.1629,145.6538,110,3472.321350812912,0.2560440589888214,18778.0,21000,17006.0,15006.0,9981.0,2778247096.5594435,985464354.358792,1106627640.5573769,686155101.6432745,-91670.70169056379,120874646.42728342,0.2560440589888214,12850,1.1368683772161603e-10,1969558247.65,5.772199824872543e-18,43870605.237461396,0.0,100.0,25
Nelder-Mead,AUS.NSW.333485,-31.1629,145.6538,110,3472.321350812912,0.2560440589888214,18778.0,21000,17006.0,15006.0,9981.0,2778247096.5594435,985464354.358792,1106627640.5573769,686155101.6432745,-91670.70169056379,120874646.42728342,0.2560440589888214,12850,1.1368683772161603e-10,1969558247.65,5.772199824872543e-18,43870605.237461396,0.0,100.0,25
