Iteration,Objective Value,Parameters,Time (seconds)
210,0.271757958,"[31807, 41, 22939, 8545, 25607]",2206.904143
211,0.306714981,"[40557, 15, 19189, 7295, 28857]",2217.153301
212,0.258021529,"[23057, 32, 26689, 9795, 22357]",2227.64627
213,0.286033253,"[27432, 10, 24814, 9170, 20732]",2238.04641
214,0.285363401,"[44932, 28, 17314, 6670, 27232]",2248.61944
215,0.284277825,"[36182, 19, 28564, 7920, 23982]",2259.09223
216,0.237415432,"[18682, 36, 21064, 5420, 17482]",2269.602921
217,0.293781868,"[16494, 17, 29502, 6357, 26420]",2279.885155
218,0.255098788,"[33994, 34, 22002, 8857, 19920]",2290.385212
219,0.278148182,"[42744, 26, 25752, 5107, 23170]",2300.823502
220,0.274770183,"[25244, 43, 18252, 7607, 29670]",2311.433869
221,0.281506041,"[20869, 21, 20127, 8232, 28045]",2321.793002
222,0.269363684,"[38369, 39, 27627, 5732, 21545]",2332.291152
223,0.265100969,"[29619, 12, 16377, 9482, 18295]",2342.583051
224,0.268382643,"[12119, 30, 23877, 6982, 24795]",2353.125639
225,0.264461139,"[11572, 23, 26924, 5342, 20529]",2363.525982
226,0.270596481,"[29072, 40, 19424, 7842, 27029]",2374.275029
227,0.290861952,"[37822, 14, 23174, 6592, 23779]",2384.515981
228,0.232664366,"[20322, 32, 15674, 9092, 17279]",2394.985561
229,0.254789452,"[24697, 18, 21299, 9717, 18904]",2405.187557
230,0.283743279,"[42197, 36, 28799, 7217, 25404]",2415.682874
231,0.281078954,"[33447, 27, 17549, 8467, 28654]",2426.012502
232,0.256650869,"[15947, 45, 25049, 5967, 22154]",2436.679989
233,0.307412549,"[18135, 12, 18486, 6904, 27842]",2447.093717
234,0.264623799,"[35635, 29, 25986, 9404, 21342]",2457.563369
235,0.264239223,"[44385, 21, 22236, 5654, 18092]",2467.969026
236,0.269334171,"[26885, 38, 29736, 8154, 24592]",2478.589535
237,0.273363451,"[22510, 25, 24111, 7529, 26217]",2489.022352
238,0.2592976,"[40010, 42, 16611, 5029, 19717]",2499.58816
239,0.282152957,"[31260, 16, 27861, 8779, 22967]",2509.888313
240,0.277124933,"[13760, 34, 20361, 6279, 29467]",2520.296638
241,0.266278205,"[12666, 15, 25518, 8623, 17686]",2530.567188
242,0.261775287,"[30166, 33, 18018, 6123, 24186]",2540.94995
243,0.292686033,"[38916, 24, 29268, 9873, 27436]",2551.295369
244,0.250325443,"[21416, 41, 21768, 7373, 20936]",2561.796002
245,0.262139802,"[25791, 20, 16143, 6748, 22561]",2572.013036
246,0.291308313,"[43291, 37, 23643, 9248, 29061]",2582.516397
247,0.303715321,"[34541, 11, 19893, 5498, 25811]",2592.76983
248,0.248803034,"[17041, 28, 27393, 7998, 19311]",2603.172061
249,0.265945826,"[14854, 26, 18955, 8936, 24998]",2613.459272
250,0.257146003,"[32354, 44, 26455, 6436, 18498]",2624.045098
251,0.274148025,"[41104, 17, 15205, 7686, 21748]",2634.188791
252,0.272478396,"[23604, 35, 22705, 5186, 28248]",2644.61799
253,0.317226877,"[19229, 13, 28330, 5811, 29873]",2654.745921
254,0.267572757,"[36729, 30, 20830, 8311, 23373]",2665.105465
255,0.258874248,"[27979, 22, 24580, 7061, 20123]",2675.292294
256,0.269370015,"[10479, 39, 17080, 9561, 26623]",2685.778735
257,0.317549061,"[10513, 13, 26206, 8999, 24427]",2696.021613
258,0.242111393,"[28013, 30, 18706, 6499, 17927]",2706.436038
259,0.272947238,"[36763, 22, 29956, 7749, 21177]",2716.846795
260,0.269327407,"[19263, 39, 22456, 5249, 27677]",2727.323185
261,0.277532215,"[23638, 26, 16831, 5874, 29302]",2737.68473
262,0.275041024,"[41138, 44, 24331, 8374, 22802]",2748.222583
263,0.263435968,"[32388, 17, 20581, 7124, 19552]",2758.467717
264,0.269991178,"[14888, 35, 28081, 9624, 26052]",2768.854026
265,0.244610576,"[17075, 19, 19644, 8687, 17114]",2779.181855
266,0.270624706,"[34575, 37, 27144, 6187, 23614]",2789.629314
267,0.310955731,"[43325, 11, 15894, 9937, 26864]",2799.816644
268,0.252224782,"[25825, 28, 23394, 7437, 20364]",2810.254846
269,0.277423576,"[21450, 15, 29019, 6812, 21989]",2820.514306
270,0.28419443,"[38950, 33, 21519, 9312, 28489]",2831.032938
271,0.275763445,"[30200, 24, 25269, 5562, 25239]",2841.366265
272,0.241372766,"[12700, 41, 17769, 8062, 18739]",2851.89897
273,0.285965924,"[13794, 25, 26675, 6968, 28083]",2862.160968
274,0.25808865,"[31294, 42, 19175, 9468, 21583]",2872.693692
275,0.267849005,"[40044, 16, 22925, 5718, 18333]",2882.825281
276,0.256563383,"[22544, 34, 15425, 8218, 24833]",2893.269656
277,0.30045492,"[26919, 12, 21050, 7593, 26458]",2903.627182
278,0.270308117,"[44419, 29, 28550, 5093, 19958]",2914.15397
279,0.270379729,"[35669, 21, 17300, 8843, 23208]",2924.442732
280,0.277191864,"[18169, 38, 24800, 6343, 29708]",2934.88392
281,0.260761575,"[15981, 18, 18237, 5405, 20771]",2945.071136
282,0.279032331,"[33481, 36, 25737, 7905, 27271]",2955.591382
283,0.276981305,"[42231, 27, 21987, 6655, 24021]",2965.980129
284,0.250586198,"[24731, 45, 29487, 9155, 17521]",2976.658401
285,0.249555916,"[20356, 23, 23862, 9780, 19146]",2986.853615
286,0.272139294,"[37856, 40, 16362, 7280, 25646]",2997.407268
287,0.308671914,"[29106, 14, 27612, 8530, 28896]",3007.587914
288,0.257256345,"[11606, 31, 20112, 6030, 22396]",3017.990571
289,0.281694474,"[12153, 21, 15659, 6265, 26255]",3028.195964
290,0.253454291,"[29653, 39, 23159, 8765, 19755]",3038.670264
291,0.291815417,"[38403, 12, 19409, 5015, 23005]",3049.020576
292,0.280359965,"[20903, 30, 26909, 7515, 29505]",3059.334298
293,0.293432376,"[25278, 17, 25034, 8140, 27880]",3069.619401
294,0.264185675,"[42778, 34, 17534, 5640, 21380]",3080.238744
295,0.257258249,"[34028, 25, 28784, 9390, 18130]",3090.515823
296,0.260513316,"[16528, 43, 21284, 6890, 24630]",3101.073308
297,0.282392686,"[18716, 10, 29722, 5952, 18942]",3111.189426
298,0.275671527,"[36216, 28, 22222, 8452, 25442]",3121.557248
299,0.306431254,"[44966, 19, 25972, 7202, 28692]",3131.751865
300,0.254529613,"[27466, 36, 18472, 9702, 22192]",3142.177796
301,0.253160673,"[23091, 23, 20347, 9077, 20567]",3152.572809
302,0.287020947,"[40591, 41, 27847, 6577, 27067]",3163.175745
303,0.280150763,"[31841, 15, 16597, 7827, 23817]",3173.47556
304,0.239347958,"[14341, 32, 24097, 5327, 17317]",3183.801877
305,0.312946986,"[13247, 16, 21753, 9546, 29911]",3194.122135
306,0.26795854,"[30747, 33, 29253, 7046, 23411]",3204.502404
307,0.261163394,"[39497, 24, 18003, 8296, 20161]",3214.885277
308,0.269576579,"[21997, 42, 25503, 5796, 26661]",3225.416699
309,0.279475622,"[26372, 20, 27378, 5171, 25036]",3235.768684
310,0.260426134,"[43872, 38, 19878, 7671, 18536]",3246.212828
311,0.290454907,"[35122, 11, 23628, 6421, 21786]",3256.438737
312,0.270478349,"[17622, 29, 16128, 8921, 28286]",3266.894078
313,0.258461373,"[15435, 27, 22690, 7983, 22599]",3277.336309
314,0.277472056,"[32935, 44, 15190, 5483, 29099]",3287.914297
315,0.295735621,"[41685, 18, 26440, 9233, 25849]",3298.176698
316,0.243598202,"[24185, 35, 18940, 6733, 19349]",3308.802296
317,0.257387787,"[19810, 13, 17065, 7358, 17724]",3319.007508
318,0.272846996,"[37310, 31, 24565, 9858, 24224]",3329.518981
319,0.28222772,"[28560, 22, 20815, 6108, 27474]",3340.011722
320,0.257363291,"[11060, 40, 28315, 8608, 20974]",3350.535683
321,0.254456567,"[10786, 26, 21401, 5522, 19653]",3360.909828
322,0.275305548,"[28286, 43, 28901, 8022, 26153]",3371.467558
323,0.300188377,"[37036, 17, 17651, 6772, 29403]",3381.801055
324,0.256499688,"[19536, 35, 25151, 9272, 22903]",3392.235198
325,0.279246473,"[23911, 13, 27026, 9897, 21278]",3402.433332
326,0.284118711,"[41411, 30, 19526, 7397, 27778]",3412.916936
327,0.277004944,"[32661, 21, 23276, 8647, 24528]",3423.324414
328,0.236185378,"[15161, 39, 15776, 6147, 18028]",3433.934791
329,0.290267349,"[17349, 15, 24214, 7085, 25341]",3444.180473
330,0.249037332,"[34849, 32, 16714, 9585, 18841]",3454.624634
331,0.278300042,"[43599, 24, 27964, 5835, 22091]",3464.903405
332,0.273555975,"[26099, 41, 20464, 8335, 28591]",3475.504863
333,0.280278865,"[21724, 19, 18589, 7710, 26966]",3485.729184
334,0.265353968,"[39224, 37, 26089, 5210, 20466]",3496.28892
335,0.271028516,"[30474, 10, 22339, 8960, 17216]",3506.445588
336,0.269176741,"[12974, 28, 29839, 6460, 23716]",3516.813879
337,0.293968075,"[14067, 12, 16245, 8491, 23310]",3527.095956
338,0.286314016,"[31567, 29, 23745, 5991, 29810]",3537.610099
339,0.289372719,"[40317, 20, 19995, 9741, 26560]",3547.996972
340,0.251952251,"[22817, 38, 27495, 7241, 20060]",3558.540793
341,0.250676666,"[27192, 25, 25620, 6616, 18435]",3568.896521
342,0.278712456,"[44692, 42, 18120, 9116, 24935]",3579.403108
343,0.305385048,"[35942, 16, 29370, 5366, 28185]",3589.691828
344,0.250528667,"[18442, 33, 21870, 7866, 21685]",3600.073066
345,0.292737326,"[16255, 22, 28433, 8804, 28997]",3610.419216
346,0.263086649,"[33755, 40, 20933, 6304, 22497]",3620.917392
347,0.278590273,"[42505, 14, 24683, 7554, 19247]",3631.153547
348,0.262775856,"[25005, 31, 17183, 5054, 25747]",3641.675025
349,0.271737267,"[20630, 18, 19058, 5679, 24122]",3652.024804
350,0.25623459,"[38130, 36, 26558, 8179, 17622]",3662.612482
351,0.251280968,"[29380, 27, 15308, 6929, 20872]",3673.01767
352,0.27316352,"[11880, 44, 22808, 9429, 27372]",3683.647662
353,0.264104104,"[11333, 18, 27729, 7944, 17825]",3693.882409
354,0.262636379,"[28833, 35, 20229, 5444, 24325]",3704.373782
355,0.286405252,"[37583, 26, 23979, 9194, 27575]",3714.70885
356,0.24755386,"[20083, 44, 16479, 6694, 21075]",3725.4093
357,0.263916641,"[24458, 22, 22104, 7319, 22700]",3735.69213
358,0.295061709,"[41958, 39, 29604, 9819, 29200]",3746.215142
359,0.295937596,"[33208, 13, 18354, 6069, 25950]",3756.52901
360,0.247208355,"[15708, 31, 25854, 8569, 19450]",3767.008564
361,0.259687443,"[17896, 24, 17417, 9507, 23513]",3777.426669
362,0.253683217,"[35396, 42, 24917, 7007, 17013]",3788.019084
363,0.279319429,"[44146, 15, 21167, 8257, 20263]",3798.334682
364,0.274568516,"[26646, 33, 28667, 5757, 26763]",3808.705898
365,0.312987909,"[22271, 11, 23042, 5132, 28388]",3818.887274
