Latitude,Longitude,Location ID,PV Capacity (kW),Wind Turbine Capacity (kW),Genset Capacity (kW),Battery Energy Capacity (kWh),Battery Power Capacity (kW),Total System Generation (kWh),Total PV Generation (kWh),Total Wind Generation (kWh),Total Genset Generation (kWh),Total Battery Generation (kWh),Total CO2 emissions (tonne),System NPC ($),System LCOE ($/kWh),Deficit Hours Fixed,Total Load Reduction (kWh),Total Load Served (kWh),Total Charging Prevented (kWh),Demand Not Served (kWh),Load Reduction Percentage,Demand Met Percentage,Project Lifetime (years),Ren Frac (%)
-24.237,115.9535,AUS.WA.652958,20894,8000,17000,5000,2410,2585952106,1236953931,445833417.7,903164757.7,-28558.44018,591121.3339,118505757.9,0.251026135,22275,0,1969558248,22411477.33,2.38E-09,0,100,25,54%
-27.5191,120.588,AUS.WA.652960,16765,33000,17000,5000,5895,3355132936,953072932.3,1946292734,455767269.4,-42236.88139,298299.6778,93054851.59,0.19711447,6375,0,1969558248,13772308.78,9.09E-10,0,100,25,77%
-19.486,133.9023,AUS.NT.335010,22056,7000,17000,8000,1774,2591528958,1261714128,441080726.9,888734103.2,-18280.3263,581676.4705,118984214,0.252039629,35475,0,1969558248,34801053.95,2.30E-09,0,100,25,55%
-12.9681,131.1124,AUS.NT.335011,26589,5000,17000,12000,1849,2571207655,1344709587,147833082.3,1078664986,-15540.92477,705986.2334,136237693.3,0.288587003,48925,0,1969558248,36947560.53,1.14E-09,0,100,25,45%
-19.5535,134.0588,AUS.NT.335952,21632,7000,17000,9000,1952,2566573320,1237346322,441080726.9,888146270.4,-19834.74344,581291.734,119059293.2,0.252198667,36300,0,1969558248,38870811.34,1.93E-09,0,100,25,55%
-20.9549,140.9799,AUS.QLD.336037,22074,6000,17000,9000,1802,2586607109,1264987139,348269618.8,973350350.3,-17018.61127,637057.8042,124353281.6,0.263412717,40975,0,1969558248,33027161.05,1.84E-09,0,100,25,51%
-19.1596,139.4342,AUS.QLD.336263,21711,6000,17000,9000,1848,2513374363,1218458516,315183176.6,979732671,-18717.29911,641235.0331,125410006.3,0.265651135,41675,0,1969558248,34127989.66,1.71E-09,0,100,25,50%
-24.017,148.917,AUS.QLD.443072,23456,19000,17000,5000,1110,2671211566,1249000491,483960672.6,938250402.3,-11551.84396,614084.8883,132373964.6,0.280402617,30750,0,1969558248,20534746.63,1.91E-09,0,100,25,52%
-35.0613,149.5717,AUS.NSW.335841,27244,6000,17000,10000,1845,2542816553,1227695965,293305136.1,1021815451,-19358.08994,668778.2129,134372531.5,0.284636104,43000,0,1969558248,38158692.57,1.66E-09,0,100,25,48%
-29.5,152.4897,AUS.NSW.335959,5000,6000,17000,7000,1800,1420045446,206228879.2,16517535.42,1197299031,-20097.59419,783632.2161,152692430.2,0.323442432,12200,0,1969558248,41844843.17,514150061.8,0,73.89515835,25,39%
-34.1848,147.3854,AUS.NSW.455899,20194,30000,17000,5000,2776,2951923769,981116201.4,1286278816,684528751.5,-27624.38252,448024.0678,115527385.4,0.244717164,13375,0,1969558248,16524452.37,1.68E-09,0,100,25,65%
-41.8501,145.5144,AUS.TAS.333976,28218,33000,17000,5000,1000,2858695544,879133066.7,1263699696,715862782,-10031.39533,468532.1908,126934369,0.268880134,22200,0,1969558248,14194174.05,1.39E-09,0,100,25,64%
