FID,SAMPLE_GEOMETRY,DEPOSIT_LATITUDE,DEPOSIT_LONGITUDE,DEPOSIT_UID,ALL_COMMODITIES,CU_PPM
CriticalMineralDepositsGeochemistry.ga.539.7372887.wholerock,POINT (-41.203999 146.793565),-41.2021,146.8156,AUS.TAS.334630,"Au (Ag, Cu)",
CriticalMineralDepositsGeochemistry.ga.536.7372593.wholerock,POINT (-41.431471 145.523547),-41.4269,145.5264,AUS.TAS.335457,"Sn, Cu",
CriticalMineralDepositsGeochemistry.ga.88.7372149.wholerock,POINT (-42.063521 145.584146),-42.061,145.5855,AUS.TAS.335962,"Cu (Ag, Au)",
CriticalMineralDepositsGeochemistry.ga.1043.7368474.ar,POINT (-41.79617 145.442364),-41.7824,145.434,AUS.TAS.336113,Sn (Cu),
CriticalMineralDepositsGeochemistry.ga.3775.2169898.wholerock,POINT (-37.606039 142.607153),-37.6078,142.6124,AUS.VIC.467811,Cu,1015.0
CriticalMineralDepositsGeochemistry.ga.2830.1457488.wholerock,POINT (-20.921859 116.886071),-20.9168,116.8861,AUS.WA.333298,"Ni, Cu, PGE, Pd, Pt, Co, Ir",2515.0
CriticalMineralDepositsGeochemistry.ga.568.7372527.wholerock,POINT (-21.225493 116.799451),-21.117,116.8296,AUS.WA.333387,"PGE, Cu, Ni, Au, Pd, Pt, Rh (Cr)",
CriticalMineralDepositsGeochemistry.ga.594.7372724.wholerock,POINT (-20.75588 117.705839),-20.7571,117.7045,AUS.WA.333525,"Cu, Zn, Pb (Ag, Au)",
CriticalMineralDepositsGeochemistry.ga.3557.1497472.wholerock,POINT (-17.351322 128.005844),-17.3472,128.0235,AUS.WA.333595,"Ni, Cu, Co, PGE",332.0
